protein1	protein2
25777	728378
3091	4149
3655	64806
10667	26060
54903	80005
57188	84324
6146	51121
6342	10488
5610	406888
25959	346171
6242	84451
10101	388324
9569	9636
11322	57348
5987	284058
7874	23072
7529	283450
11166	84864
8536	26279
898	1026
11030	84528
53340	116179
7379	10223
3297	7170
23468	201514
115426	359787
57060	255220
4701	84277
6013	79411
10910	11234
56262	388650
7013	11338
4222	84708
51225	87769
8661	9322
4957	57489
26580	90407
5013	84217
84309	406985
6696	6780
6613	7153
9241	64222
51474	90102
27230	136263
351	55611
3042	3050
2197	65005
805	815
116173	283578
5468	23764
2703	79669
2019	8816
57462	79745
2048	84125
51361	135398
9166	374395
3934	128977
805	29970
1437	4618
4250	81691
1366	84528
8079	10654
2993	6904
7818	10794
11043	56891
7009	27240
55166	79682
5071	5413
8440	342371
1031	222255
4013	284904
1659	9716
7298	55370
23428	79053
405	810
6009	220441
54927	100996717
5879	56924
3064	51701
9782	407040
11081	83594
830	9897
27351	339965
10370	26234
30008	254910
2549	11036
1845	10613
5577	286075
4223	9391
7322	55182
10644	22827
29925	55300
22859	54947
8455	23295
57414	165100
1967	286827
1487	2033
79630	149175
11051	406901
3021	6830
1917	57474
759	7205
9726	79759
546	57473
6625	9463
6118	7531
81285	131578
5687	56658
26003	54784
5704	8473
51170	56894
166	5970
5634	9640
5585	339005
1029	4193
11156	58477
3107	6038
3014	5524
4869	91300
3188	406906
60	302
3609	27067
5009	5428
2896	23410
509	25791
892	139628
58157	115265
2885	9402
3963	5420
84217	390874
6303	27231
55145	399761
3198	30817
640	23385
331	10572
7704	729250
4804	7189
3689	653404
7342	23476
11318	55656
3309	5971
4513	54413
4176	84676
2035	10606
8440	388512
3603	7718
6124	7249
51616	54457
5001	6118
10406	200894
409	58504
10946	11193
9659	118424
4038	7741
5728	284695
3187	56925
10385	146456
154091	201158
7205	146325
293	84458
2237	2961
142	200558
5196	6387
3992	10317
10286	25828
11339	202051
1917	55824
3232	57332
53340	93611
55226	474381
9382	91949
5987	55110
54033	125115
7189	55252
4246	7841
11170	120892
1956	55715
2923	7756
801	79577
7316	284217
7874	140597
57176	374291
9854	56125
5080	388695
25	4998
4000	387521
81027	151888
873	11345
8543	145282
5813	554210
3104	151278
83451	220164
8939	348093
9454	112869
3087	386675
7978	168544
1639	55765
1039	84080
3303	10475
7187	347516
148113	388372
3881	7004
29844	57701
7203	10693
8874	83737
9525	84445
10921	51575
159013	161742
1191	80254
9702	159989
25843	122961
1917	2117
5739	27347
604	1024
5317	348980
1176	8120
9883	65258
2669	440023
5917	406991
53358	402381
4188	55827
22827	406951
9978	10454
5684	170394
1478	407049
56616	337974
6208	55720
8440	65059
11339	79101
25841	150737
26580	149461
2073	2968
405	548593
23358	221184
57120	345757
56658	347344
6223	51324
3312	3925
6993	10982
10403	57602
10524	57634
1718	57348
1196	9295
4289	5733
58529	353323
125115	253461
54505	79735
1962	6047
9455	84445
23526	83878
51764	84300
3191	406906
29089	145226
23277	261734
26031	55103
9759	27332
8676	8773
9689	202333
978	337966
54820	203062
5066	5899
80148	118813
351	375341
84675	340811
6596	7316
9079	126382
5890	7516
6009	7249
344892	493856
2358	9144
351	56658
7692	51116
56928	64109
51060	653784
283	6050
2572	613227
5034	83901
57096	128178
5966	51693
563	286410
60484	337967
10559	339302
3915	23172
4436	11200
3030	3064
5358	8793
656	10956
7466	338917
2866	29986
84522	390212
2332	9110
7329	9111
10513	84872
51149	84080
7314	27342
84080	117178
7430	9368
10975	51755
201161	440563
4108	55181
3885	283237
6772	23420
2110	5013
2214	60558
115265	353238
2939	2940
5499	317762
3489	285966
6202	51264
9500	92345
4913	11068
3385	6440
64170	117178
811	5597
85289	116412
23013	49856
6165	6457
5725	406884
1297	4099
6821	7411
54984	59286
4919	9258
81875	92999
26953	51318
4074	56935
8574	79648
57511	440021
320	5300
10238	138639
983	2189
5479	22915
6122	84259
351	10659
22894	28989
6143	11103
826	3561
6801	51765
84676	92552
9555	84717
23126	23582
657	8797
5653	8356
729240	729250
23641	653240
6256	8841
2859	7102
28952	55959
5376	283232
3249	221914
6158	8634
10687	84140
6426	8899
6242	114880
11202	29988
2676	3123
468	8907
4680	51440
3299	6663
3326	10746
3276	407045
4085	8816
27120	259217
26586	54914
2042	84125
9439	112950
2041	7179
5621	80765
5705	8087
4747	342574
10523	23567
5300	5564
2130	440275
1040	3175
10422	11001
56252	85015
433	221938
6273	10620
6830	51050
4853	27153
859	29843
5575	55138
9223	25776
3945	25913
8019	441251
6565	8543
25793	158798
902	642843
1912	6386
5211	10980
330	8720
273	10657
10514	56829
55070	147912
2645	388333
57715	81542
302	3692
3959	23118
89	196996
3818	84548
4163	6189
998	9912
2260	64097
6547	55454
8328	84133
6223	90957
26156	64794
10782	51263
6191	115207
4107	55014
148066	100134938
5516	6801
6209	80742
8736	10049
10363	169026
6788	9770
1030	7185
1659	27136
30850	170082
7201	100288797
55773	84285
6164	23212
7159	10286
25793	127602
7316	7323
956	84867
9644	64599
9194	53826
3598	81831
3198	10020
9379	23499
2534	139716
2874	8500
892	29079
1785	7802
79027	83606
10803	54795
5433	79871
10989	22906
51084	91749
1977	56478
6233	9802
8665	23435
51030	283232
5653	8893
4690	84172
9440	80306
63898	342132
6653	127253
573	285237
221477	391356
24144	146849
3191	406976
79862	124401
10175	51614
6122	26576
79594	100996717
28972	91869
2064	23613
2534	3716
26024	28998
60	4133
3316	4190
10574	54461
331	171482
29088	122704
573	7702
170506	554210
6271	403313
80306	100528064
85360	541468
10565	27020
6303	7004
5071	9319
5465	23468
920	3603
2903	158046
6768	84918
3326	25827
1230	5621
10567	51100
4323	10682
22802	374395
834	114609
22884	494119
3183	51535
3064	23380
902	1460
51684	84695
3323	85481
3398	10817
7431	22827
4214	80013
4739	5782
142	29843
129831	440563
23325	100287171
989	10435
5296	6850
2332	11108
8601	81926
7186	200576
3320	7272
3014	10210
833	121506
116441	220002
4188	5068
2036	57703
1026	25840
9833	64072
1477	407049
6565	55093
644	348793
4162	4869
51106	51373
5544	10363
22936	54541
7110	8328
55723	121504
10870	27347
4591	139562
487	3117
3937	5295
834	841
54487	79682
6135	55661
90480	219736
472	1031
7158	54913
54971	400673
3609	404093
1460	6198
3921	26996
10897	29887
26749	64396
5304	23141
4094	9935
54472	84557
529	9191
554	23731
8995	9294
342945	387032
2030	83877
10376	255394
5300	137886
6224	10397
811	115827
6583	153396
3885	50861
7014	55646
8344	84159
6322	154810
55253	55370
320	4139
56342	64802
1459	113026
55014	57447
2209	9332
2823	10652
8487	26747
6598	6605
1741	26084
54620	80011
64927	84445
552	1950
3609	132430
7142	22950
286148	391211
84522	408263
57159	79794
8453	26517
26127	122961
27340	406900
59353	149018
79661	85437
8295	54940
1797	55170
843	8737
5295	5775
9913	117143
11190	23636
6794	26259
1743	84106
11108	29950
857	2697
2993	80185
81	655
6871	145282
1665	9119
1141	90701
3140	7903
3488	10488
152	7681
2975	6158
7135	219854
3929	10549
29941	84868
398	10460
6780	9020
8563	51645
166	80764
25776	27153
7128	79155
51142	58509
10670	58528
799	4035
3123	5140
5939	85364
10913	23456
54845	406991
23196	65080
403	6700
8864	137392
6947	94235
2033	6414
4259	203228
9351	9837
5564	29097
3725	9586
55699	140461
29777	29997
5167	11138
94101	337967
5728	59345
868	26060
60	154796
7415	84923
5591	5932
117144	100132476
29119	64844
54475	84298
1956	64855
91647	337974
51068	58526
57085	135932
1947	90273
4869	23560
11170	164045
4287	10277
373	1962
55325	57687
1869	10283
5954	80344
8092	129831
7511	27185
1813	27069
6794	6829
5501	7157
5636	55031
11060	79901
4281	7325
51373	84273
92	1616
570	4163
23164	404220
246329	285755
10128	406952
5594	6721
2332	10458
11077	170954
1956	53358
23534	374907
506	259294
4283	9075
8243	65268
351	56941
801	2288
10347	147798
6217	51106
54982	55909
7920	10682
5708	10382
1141	23420
9555	255626
3202	23408
2091	4675
4926	8315
1767	1974
3155	58475
64396	287015
30012	254187
51300	401152
84818	388650
24144	122509
7109	10597
7421	8443
9882	29959
1003	1956
23107	64965
3101	259296
1264	220164
3032	26521
51121	55226
2812	79624
54676	338328
5079	134526
4763	25776
1147	1387
3958	79932
11156	54919
7466	150864
23404	55808
3281	3297
29896	406947
1240	3070
3303	57539
3320	5590
134391	347487
10890	115704
3315	7041
2934	284716
23361	100996648
6648	79159
64400	353144
6723	114327
7268	728071
373	644903
5025	79669
2778	23161
373	7050
80742	159163
8794	199857
3550	23028
1642	8464
8576	83900
8787	10681
1871	51377
10658	407040
3198	10897
3159	57158
5987	146540
51430	79669
6388	7316
998	10298
23345	92140
57559	342371
85293	386677
28663	55757
54682	57498
8576	140831
166	51529
53615	57159
6564	81855
112802	125115
29948	55839
9832	80258
114790	150684
3603	254225
23098	27069
973	64598
1509	81848
2192	5465
2908	23136
10153	29080
10138	54880
143684	386676
3921	30850
129831	548645
2622	9454
2044	2064
5355	65009
363	56704
6277	23130
1195	27316
4040	84197
3055	5921
4690	10163
4218	8766
25799	56001
54940	64328
7276	81848
6399	9846
56658	115509
2832	125115
2885	9204
488	11156
7336	55082
1121	158158
7289	23210
4188	202051
55143	120379
10682	387923
23212	55131
351	11257
7024	7520
8839	8841
7068	8648
1800	30000
55697	375791
9256	79959
55181	80005
554	84197
1515	8930
23582	56906
9439	51003
4622	280636
79140	122830
27185	50649
1038	65009
7049	79012
3189	407026
10286	10594
1312	337967
6613	6950
30008	158405
6311	29942
4729	11186
1363	160065
55330	55763
3021	4796
51729	54997
5806	8817
487	51566
351	11143
10621	10623
11156	84950
836	2623
8924	151648
3717	6776
1031	11281
4110	5595
7905	55379
2976	9330
57786	146540
191	5062
3312	196374
83660	163782
7130	283219
