protein1	protein2
2261	100134934
2733	6175
10664	79661
220	54205
283375	653519
10450	22938
4833	113878
7201	51177
10898	124245
4841	406980
10541	102724631
805	4729
11284	116179
6161	11222
546	8294
5116	10875
22954	84062
4729	55845
7205	448834
5204	10629
5214	6613
2803	7248
5082	5705
51316	337973
7555	10643
3065	53635
7251	51271
23143	55151
9587	81628
4149	25855
9818	26996
5859	84807
26511	386682
4174	84984
8842	286451
6252	10410
10241	84902
6924	7813
23451	406988
64780	158293
2045	113791
351	2181
1000	7316
7442	143425
81610	257236
85319	285203
8148	406887
59353	116173
8653	406886
4017	119180
9054	9463
27111	83878
28977	122704
6790	51053
4005	51592
3429	7022
53347	79696
2039	93166
8452	11345
4509	65125
30008	55367
242	7545
1869	7027
2217	100507680
57678	85477
9646	79577
6631	155368
11052	11059
6288	26030
23507	56262
1207	2036
10464	128553
3191	574033
63978	93166
5814	84708
3932	84807
55755	59343
4036	9479
351	23235
56344	57541
5689	10363
6792	10460
1936	5597
3164	7428
5436	150248
1831	80321
3006	8786
8473	55148
10642	406989
1472	441024
1822	7248
26229	55027
5073	8336
351	51314
942	9718
90410	282991
23521	79101
23281	51222
63892	284369
1075	1743
23005	440050
79005	84807
10399	29789
1063	57120
7040	117144
56906	100996717
54893	57696
57381	283635
57002	79738
3064	6867
26084	64130
11017	79624
1763	54970
9528	22875
4615	8405
4528	26024
587	54059
28982	56606
25804	114034
1727	4034
971	10507
590	4052
85300	89885
4005	100287171
8270	84675
113189	388633
6790	6895
8092	338751
9962	10555
4713	9643
8061	283518
11030	26051
49854	55103
200232	503497
10617	57559
4522	100288687
26145	199920
9537	54682
9570	220972
9991	23057
8189	27076
386681	389549
50604	349667
6273	78994
11043	25959
3315	3476
1282	1294
331	81603
185	27020
5063	57381
7678	9001
5034	7148
1741	7142
5871	6416
8933	29979
146705	375791
11017	57338
4722	51295
351	4076
10913	54602
1039	84619
5156	283358
10982	440563
56107	56112
1021	10474
9189	10540
5378	55568
29799	29966
4780	10109
9466	54953
8602	26156
2	79541
23094	84292
10098	29960
9659	23281
2040	91647
183	1889
22983	54536
26511	50618
8546	80318
6733	11077
3329	26995
22806	79090
6671	59272
27185	54535
135927	729085
7316	338692
5252	7024
4282	26984
351	847
287015	386682
4543	29979
6235	10399
29121	91775
4591	8687
55914	126147
5817	11065
998	89839
7802	155368
7531	147700
2874	55860
1655	7391
10567	83878
3064	6198
79188	493856
6280	7982
90957	345651
25884	147687
373	9119
1176	8546
7321	9577
81621	199692
2274	83444
10404	347688
2623	11030
6571	23420
7329	9075
51388	57062
3187	406937
10616	55905
10605	23185
51170	100507537
10312	245972
6607	10539
11072	254531
2222	3693
3934	27433
2647	10542
2395	27071
336	78991
2885	6603
3320	192669
9915	266743
23555	118813
23028	140735
351	3600
5295	8660
24144	26576
2124	344892
2130	23648
29128	440563
1293	8291
3305	7185
55577	339965
10020	22795
56891	653121
2050	79867
10025	29079
7113	79161
10236	406981
3192	11222
4939	5592
7316	159195
4034	5525
142	23650
4092	7270
5438	5901
7186	113457
56994	114571
64881	348738
5187	29979
10576	23193
6158	401541
3178	5728
3198	340277
1432	81620
7323	81559
580	125115
6429	64976
5894	6714
79101	81533
7106	353144
8576	9463
9188	23144
4582	79669
25946	406979
23269	164684
4656	81851
8861	56956
56655	57325
4864	8896
8841	9734
7286	284119
132001	154091
3910	4059
2932	10755
5452	7091
55138	254956
10152	431707
4188	80817
54432	54741
51264	115416
4193	5224
88	823
9659	57639
2801	23118
25816	337959
3927	83897
5708	9529
246176	404734
3219	83755
811	57506
355	7280
5966	50619
271	90806
2192	6498
8687	22897
28834	100423062
29088	64975
3055	7472
5913	57563
4055	55700
9735	84553
6302	9019
5530	22941
58480	90589
308	3315
811	100533106
6789	84643
11051	406950
7321	10134
3187	407024
3198	10468
10783	375748
9915	54820
10137	84326
9782	406981
2274	57862
3416	154386
2896	25763
3320	6449
8677	10490
26071	79839
5351	406884
5701	134510
372	10952
7052	65125
80714	90480
9532	27101
7791	26267
10767	84553
2074	6156
4705	4731
8345	10743
5049	51112
4212	337973
88	2952
27346	51458
525	3921
4940	22907
9482	256714
10992	406889
353137	553115
1725	56648
5928	162979
726	4292
2145	5930
9900	345778
2516	8440
9679	23071
4670	406884
7920	11068
8352	440686
23521	55226
492	801
5936	406996
23203	389320
115939	219931
7321	57162
55800	222068
3399	5954
23185	135295
51023	51649
2670	135398
9053	10644
3315	152110
7205	51352
4004	167465
10868	83858
23637	80323
164312	199221
2665	23011
7317	53917
7555	168850
4086	7316
3064	90693
4215	10456
26136	100128554
9282	80306
3476	55791
9802	337882
5442	200845
1956	8471
6785	9524
3726	5575
55662	114876
6790	85456
6132	6426
6310	408263
3801	26121
318	4175
6490	55028
8664	51655
6500	83461
1468	57786
1993	55602
7185	83463
6286	6619
6209	79661
9500	112401
3006	64318
343	5355
892	64802
50804	406888
472	10048
3087	51691
81839	83591
5981	5983
9801	23521
6329	6334
10921	55589
3122	285315
11072	22853
2063	2823
970	9026
60680	81850
719	54733
5869	10567
8175	64098
10049	54913
23185	81853
84569	153642
682	10594
2316	54413
3326	51270
11107	29777
8405	23543
56654	85285
56006	158067
8600	9862
5564	5571
1145	55761
3921	9886
54928	55204
2026	2027
345275	375035
6427	56893
4734	10067
22984	406890
10919	80256
51090	55248
5837	79660
10291	406953
25776	57521
3329	92170
5297	7138
5701	9861
4683	7518
6426	55082
9513	245934
1736	3006
84976	168433
8674	337969
9099	284058
2521	80714
55758	57159
27	3055
5792	5910
3142	7091
8458	10460
10980	85358
4602	25832
1962	22806
229	529
3329	64757
50618	84251
8614	64780
3399	23421
10155	148581
9416	406890
6615	8667
26973	222643
6477	23005
23390	90410
373	151011
8576	23178
4771	51062
5579	5997
3336	81493
5806	23597
913	5362
26239	440021
56852	441525
10643	407051
310	3032
3021	4173
3190	80125
7276	94235
9532	440275
3190	406985
5802	7048
92181	388324
4188	145946
5034	11345
54577	285598
11063	22976
9902	389118
2253	84524
2122	4626
7748	257236
347688	388951
2271	56915
9113	246184
153527	284001
83878	284058
53371	115106
5878	6256
9453	79943
10592	84851
3315	90427
6821	80851
6794	7157
10463	79669
6637	9465
79165	388701
9581	339175
2041	23310
2931	10627
6597	23309
4356	83746
10445	54984
2033	7534
3219	57693
10459	84217
23641	146542
627	58480
4851	5663
2896	7922
116115	147807
7716	154881
79050	80742
1457	6125
4543	9718
1849	1915
3643	7003
6672	10623
54967	100529215
124540	406991
12	64794
3181	8312
1948	2050
54541	55619
58489	79733
10363	55906
409	57669
672	9093
4188	7866
55527	79016
5987	29089
3843	64981
5746	6785
1021	6882
5268	594855
5715	6502
10181	171483
254910	337959
8323	8875
8581	149371
3183	138046
27185	54986
5507	91694
4093	5937
6152	8225
1128	6000
8445	54869
7040	80125
3151	8345
7186	441282
5347	55166
3276	8091
10617	51510
28951	56893
10551	127845
23557	219854
57592	283208
10490	337974
23039	51435
5096	10901
81850	83741
130106	339344
5813	406935
9158	28514
4775	51684
23119	400629
4232	408263
5093	10169
115948	342574
26133	158293
5792	65124
2099	4350
23623	337966
25793	57489
2534	26052
79036	79873
6505	8712
2840	55005
79608	202018
3598	5076
25827	114548
3065	4113
5684	10971
2778	55188
51377	57402
29844	54617
6595	54550
1195	51755
6189	9020
356	2335
9128	64852
29883	339345
7428	11030
2033	79803
4223	200081
3297	3303
3007	3024
10497	132954
2551	6279
88	8291
1195	10283
25776	196513
23266	50944
2844	196527
2067	79720
6510	353141
11170	125115
29934	51319
4591	55388
196	3383
29079	112869
6426	79753
1655	23612
26234	345651
6194	54948
9993	79671
2009	203068
3492	7277
3066	85509
6038	6768
6814	10087
638	90933
7773	64753
6118	6119
5713	5714
7150	10846
4107	10514
83541	390792
1856	221937
1366	163183
2332	8841
7434	54898
7014	445582
7186	79027
10904	152206
8086	78987
55506	317772
4061	54842
983	3832
7251	23087
3064	11244
7565	25861
5164	79763
6130	6208
755	8372
8030	645455
8473	57707
11113	260425
9184	10576
9283	10052
51703	149111
1233	57468
9426	55729
6139	8575
6311	441046
10817	51529
2264	51129
5459	6790
22938	89870
4089	54828
10939	84694
4690	8491
9771	253260
64396	114826
2074	3313
3163	27346
2534	10657
51006	58515
527	135932
9463	140290
11065	266740
54927	114327
7535	114836
920	23126
9873	163786
57088	171482
4609	11218
10039	333932
1022	7321
2926	5716
8446	10768
5650	23301
7316	27246
5701	29978
8879	54967
8575	55771
187	51114
974	79669
655	5987
4093	9070
6564	94097
9592	9972
10412	26156
83741	386681
2530	53407
8576	24142
831	23281
54961	64219
63977	83740
1639	9001
8788	57462
2874	56911
7738	10360
1725	4223
29126	64328
811	84229
11140	84445
4724	54539
3689	25763
444	25793
2669	387755
145645	283129
1032	55840
6885	7316
104	23076
5929	8085
81688	112812
154313	339448
8688	9910
7572	84060
8087	10445
6166	23521
6124	26574
8676	440184
10133	10474
55561	140735
23196	494115
866	5066
57659	59349
1607	26167
3889	6744
5582	10640
10096	64946
3185	10262
5082	441531
11230	158866
6194	6198
5801	6259
7157	9013
6492	9915
1145	4052
215	11318
64802	84901
5692	246176
24144	93426
6193	9188
2735	8650
51035	83892
7448	158399
2840	81790
4617	29123
7434	9238
149483	337879
27327	246175
9219	64132
8022	143884
88455	140460
638	90332
3911	4059
55697	170082
7112	84823
5411	728945
65258	79414
8629	56891
3480	4771
51317	54535
200232	201562
51361	84140
6165	26973
54793	55295
2011	6788
4543	55379
6709	9188
55262	337966
3159	10988
57665	112609
50863	257194
10000	11140
64061	132200
891	115426
4747	57144
7704	117177
9349	56097
57111	80223
10949	406977
1387	7080
5080	26240
2670	9212
554	285966
3163	80111
944	124936
9248	27433
10623	79768
23466	56109
23352	339175
728	55890
4291	10049
4854	8076
1029	2597
3981	9094
4758	7805
242	8706
493	51092
10363	55093
23386	317719
6385	57216
4713	84141
7629	146279
51318	90480
54550	83878
51119	51593
10197	65264
80742	85437
3622	57597
1813	7018
2801	10084
5045	57498
252884	387032
5521	10397
3326	3551
28976	57107
10198	257236
2041	201266
3006	171023
8237	54531
6672	51421
7375	54997
699	10403
6132	10514
29079	122786
22901	285362
6713	8643
3364	6386
4118	128414
1327	1345
86	6760
815	138046
79922	112936
26088	127703
3932	8976
3725	114800
57559	58524
4118	5798
5013	85289
23271	57530
4214	7203
57555	160065
4683	22794
1534	374395
5304	9778
78990	79698
3801	23132
10010	55166
9295	11338
23413	200734
2012	219854
9463	54913
5708	101060321
55068	387266
997	55072
22903	90135
815	3674
4170	8239
5156	339479
26578	55256
5204	8517
9801	51263
3717	4352
10141	55559
83878	100132979
9241	23524
55766	84950
10443	84569
59	55200
64927	114824
4828	23383
27283	64326
2140	4204
4354	51160
64093	386681
8131	9681
10492	90806
8988	9869
23566	285613
7321	23072
10320	23479
6733	64968
9119	150483
80740	401152
26354	57547
1044	51176
10538	23028
283742	406903
10768	79666
2670	161742
146664	153328
7535	120892
51512	135398
4799	150864
3662	5629
5170	5411
2959	342945
3670	7025
5283	57156
3728	51593
8496	25959
23229	55775
5294	146850
2130	85363
3053	55233
6096	8553
6911	11030
5597	7018
4734	55504
5080	8545
56475	64781
23028	84292
7109	7529
975	7572
5616	51804
10036	23647
6137	124995
5626	84292
3835	8290
10056	55845
439	56946
29903	55110
23558	124872
1472	84976
1021	2289
7332	8924
2099	8894
8459	140767
8335	30827
8110	51412
8764	151888
9329	23178
29079	200081
351	11326
375	1131
29068	57602
2870	10913
4000	83742
6749	55766
124540	406980
84985	337879
3093	7428
9404	9815
292	3671
4734	9166
5887	10522
25861	391634
627	51763
6572	10447
6696	56975
2866	729515
10661	284001
79101	168544
4853	63925
5704	5710
8440	8936
11156	57510
7125	8479
1398	133383
1432	51444
6505	132204
22883	79037
89845	219995
6919	80823
83733	375791
899	9738
1656	64770
4609	7745
389677	406979
832	4163
2162	7353
3606	6997
6142	10289
351	25888
4142	84274
5511	6165
472	3312
6137	9790
8325	64768
29911	79005
6160	55646
8761	400961
8339	64431
410	339390
27185	57498
53358	80258
7803	8440
6541	147687
4163	161582
7745	7762
7345	348995
3306	57631
8292	58480
644	7059
857	64838
10262	407021
9646	84851
112950	125115
2017	4638
6811	23765
55737	112936
6733	317781
51726	53918
7013	9188
6142	7270
481	24145
8774	10456
83741	388818
6429	221785
1327	55151
2033	6774
7024	27343
6453	150946
258	27252
7305	84912
563	80262
26146	119392
25874	56616
402	7280
1398	56658
1138	6901
11098	79142
3959	85378
2202	221504
51593	100289211
9260	196472
5372	11072
7307	25988
64753	148103
1213	162681
150572	386681
56704	125919
5322	79183
51061	81629
5937	23212
9984	54776
1457	8894
196051	257019
1070	8517
1474	245909
4214	6152
2251	83988
1951	140947
633	134492
5521	6703
55600	56521
5427	10174
4223	57184
3052	58526
9139	80262
400506	406885
27241	171568
26056	51517
2596	79019
4734	56164
3993	9774
23376	51645
90693	152519
570	27030
1605	3113
5691	55120
526	27185
9204	64940
7186	10720
11272	286410
3881	284439
4354	29978
1141	286148
8349	79612
10615	541468
7171	8629
3950	79018
6870	55585
10463	51614
4158	56246
5427	11161
4163	22994
6137	55661
3550	10865
159163	201181
11281	58498
6633	10956
2041	286205
84894	386677
894	3091
4904	55052
80178	386682
3359	6558
2993	374986
6629	6638
6015	84759
5156	5606
6505	8650
963	51308
1088	55768
1836	404217
8995	10905
7329	116412
1026	2646
79088	80321
11097	22794
2534	51206
1443	4087
8559	112574
55260	113174
6096	23294
1947	10345
6137	122704
6273	22976
4851	219333
8945	55848
6613	10492
51194	56475
7874	63967
9620	280657
4163	7169
4856	254910
1389	89885
3488	84975
8879	79152
4004	7186
400	1813
363	55894
6453	347862
23294	390792
4115	55105
4259	23554
8241	23371
57188	386682
329	58533
6181	25873
22794	65109
9446	27132
4110	57639
51087	406915
4802	8462
55504	83737
7069	7321
4931	27350
4142	54919
80115	389207
9119	10286
1600	84872
51379	115265
104	84248
64598	64780
7323	8453
2035	5878
23543	406979
7466	11339
84807	140706
51686	147409
84248	146310
974	5427
8878	203068
998	26030
1017	8407
539	5893
10472	342371
8419	51295
1974	117178
2963	5047
8520	25842
11339	149473
9146	353324
688	92552
732	1191
3364	284996
9992	10021
356	26578
4174	23594
6631	130074
4646	404093
3091	51564
81562	284996
9715	29781
9659	100134230
4904	146310
79887	152185
11318	55610
6443	353174
5245	54828
7704	9235
5879	120892
3184	10935
9020	10575
8976	22919
22985	202299
840	7132
5928	10194
351	8019
10084	84260
55146	56650
9099	9240
55759	55845
161742	389119
4831	8407
999	7347
54475	55228
322	7059
28663	80230
1453	4088
1778	4675
57088	83755
55248	84749
63940	123346
90121	283431
842	6045
7178	55743
5493	51593
53820	388324
351	5296
185	9240
8991	26073
5595	57124
25880	29940
5564	6208
2534	7225
1159	7466
8697	23583
9636	153657
6203	60488
51655	79365
2065	4734
51562	51588
708	406976
317	5616
1020	5468
9775	10921
2	3931
8462	26249
6195	51808
6450	140850
489	79865
1674	93426
51608	79902
3149	3159
4638	100288072
84140	85294
7097	25893
84217	375567
5925	10739
5610	406937
1859	6426
4916	201931
10664	474381
357	6714
3920	94097
10190	22948
5914	64210
55116	93377
9099	26003
51741	79869
8881	93323
2054	92170
8503	79949
2801	8345
26985	79012
6430	51073
5255	118881
5189	5190
1956	149371
5624	375791
2867	127544
6602	54474
23371	51130
6640	81565
5496	654341
9569	55529
3265	55857
4055	7314
153527	348093
202	347487
5966	26043
5982	5985
7157	80335
25844	81614
79058	386681
5566	55869
1515	55175
58	81492
4163	8687
80279	284369
5693	27257
7802	158067
11339	90417
2993	55770
2669	57730
3190	93974
3064	57532
10917	55819
10342	391123
84975	493869
6194	6774
132204	286753
9550	23321
2705	7040
5634	57609
3609	6144
54534	85865
815	10456
8419	79175
10910	160428
6423	25852
2043	93979
7837	135927
6804	29091
6156	57062
1809	10570
51282	63910
8087	55110
3866	51421
5684	64393
7565	220929
3192	6626
1147	5584
70	338872
2145	55082
11274	23386
2737	5578
6187	23411
6434	406886
875	7168
25842	29855
26086	84985
6638	25804
7186	57862
373	146542
6653	7767
9830	79590
6477	7334
9725	286410
331	596
4092	51377
8976	402381
9075	9414
1643	150678
408	285855
63876	164127
26984	65062
57673	146540
23466	26010
390212	723961
10143	199990
64105	84105
23024	257236
1962	23211
7536	54799
6924	8864
113878	337879
9145	162427
7915	145282
54870	284382
3017	390231
10197	284058
2064	84174
590	4693
118812	200894
7846	132864
2571	3725
9533	375791
5031	83896
7205	11107
5917	407014
3064	8775
7375	57819
84619	152206
2534	5144
7428	23760
51293	219931
51542	57511
54437	79607
2781	29956
10422	54461
9585	81565
1759	118932
1937	10944
2521	406882
7402	27185
120892	347733
5080	135892
1232	6349
10120	10121
7280	24139
9317	55092
8887	23201
3215	25898
26659	339896
6839	152273
27175	27185
4833	6622
5885	10939
8601	10558
6490	221955
84620	345275
1069	9814
6838	26576
4609	25814
23582	51225
4055	7186
10127	51324
4582	339665
84312	114327
4898	9663
9702	54535
10399	22863
5585	6300
2885	6711
5601	7597
9641	84263
9844	79767
2241	5295
81611	317772
6774	9169
6449	9463
23650	79780
10870	347688
1663	56993
80342	255057
5970	25855
3475	83986
9997	27141
23219	220388
10535	10554
1641	125115
6142	54984
3932	4137
10445	55954
87	7846
57130	347730
5746	8677
25813	162427
83444	386681
5720	11178
7780	645104
638	149461
51490	406881
6502	10987
55145	170082
2623	83899
60314	113402
7439	80331
27090	341418
1069	129049
2332	81858
7188	7189
54458	386681
3107	10459
1163	23133
151648	388524
891	2670
288	11337
7334	79594
11178	123722
10381	11126
916	10849
25844	84272
1108	7273
2670	22938
56623	57460
27120	79029
25894	55504
80311	284119
9987	54585
6102	23039
4176	4609
2033	3091
79618	81558
51115	79019
4259	7542
4899	6478
207	23122
837	5689
27287	337967
358	284001
7052	65018
10524	80318
10236	406953
104	6231
6430	389421
8618	167153
8899	26576
204962	391211
22806	55758
2890	121549
1674	143884
6622	9637
10529	202243
217	3329
4792	150684
9369	407738
5349	403313
5432	7316
4170	8739
6871	22976
8893	23271
6789	9217
3065	51742
79717	92747
9119	192666
25837	115265
999	80764
4790	65123
29950	80714
3012	7508
4100	64770
973	149111
