kegg_id,ncbi_gene_id
C00001,124
C00001,125
C00001,126
C00001,127
C00001,128
C00001,130
C00001,131
C00001,50814
C00001,3614
C00001,3615
C00001,7358
C00001,51478
C00001,79154
C00001,2879
C00001,10549
C00001,10935
C00001,25824
C00001,5052
C00001,7001
C00001,9588
C00001,847
C00001,137902
C00001,4025
C00001,7837
C00001,8288
C00001,7173
C00001,257202
C00001,2876
C00001,2877
C00001,2878
C00001,2880
C00001,2882
C00001,493869
C00001,4353
C00001,23474
C00001,240
C00001,55586
C00001,200424
C00001,54790
C00001,80312
C00001,57553
C00001,64780
C00001,9645
C00001,10229
C00001,1576
C00001,4842
C00001,4843
C00001,4846
C00001,2326
C00001,2327
C00001,2328
C00001,2329
C00001,2330
C00001,8564
C00001,100861540
C00001,107987478
C00001,107987479
C00001,11283
C00001,1543
C00001,1544
C00001,1545
C00001,1551
C00001,1553
C00001,1558
C00001,1562
C00001,1564
C00001,1565
C00001,1572
C00001,1573
C00001,1577
C00001,1579
C00001,1580
C00001,199974
C00001,260293
C00001,284541
C00001,29785
C00001,57834
C00001,64816
C00001,66002
C00001,1582
C00001,1588
C00001,1595
C00001,1589
C00001,6713
C00001,126410
C00001,3162
C00001,3163
C00001,1586
C00001,1581
C00001,120227
C00001,10858
C00001,51302
C00001,9420
C00001,1557
C00001,1559
C00001,4051
C00001,8529
C00001,285440
C00001,113612
C00001,1593
C00001,1591
C00001,1594
C00001,1584
C00001,1585
C00001,51004
C00001,1583
C00001,5053
C00001,7054
C00001,121278
C00001,7166
C00001,392636
C00001,1621
C00001,5066
C00001,7299
C00001,123099
C00001,8560
C00001,79152
C00001,6307
C00001,6319
C00001,79966
C00001,6309
C00001,9415
C00001,3992
C00001,339761
C00001,387521
C00001,387522
C00001,5742
C00001,5743
C00001,83475
C00001,9023
C00001,221656
C00001,23028
C00001,1356
C00001,2395
C00001,2495
C00001,341208
C00001,94033
C00001,9843
C00001,7498
C00001,50484
C00001,6240
C00001,6241
C00001,154807
C00001,79001
C00001,8309
