source	target
C00052	C04845
C00052	C04910
C04845	C04910
C00015	C04911
C00052	C04884
C00052	C04911
C04884	C04911
C00015	C04930
C00043	C04930
C04902	C04930
C00015	C04906
C00015	C04934
C00043	C04906
C00043	C04934
C04906	C04934
C00015	C04914
C00015	C04937
C00043	C04914
C00043	C04937
C04914	C04937
C00015	C04922
C00015	C04939
C00043	C04922
C00043	C04939
C04922	C04939
C00015	C04938
C00043	C04938
C04922	C04938
C00015	C04880
C00015	C04943
C00043	C04880
C00043	C04943
C04880	C04943
C00015	C04944
C00015	C05159
C00043	C04944
C00043	C05159
C04944	C05159
C00015	C05141
C00015	C05504
C00167	C05141
C00167	C05504
C05141	C05504
C00015	C06133
C00015	C06134
C00203	C06133
C00203	C06134
C06133	C06134
C00015	C06141
C00052	C06134
C00052	C06141
C06134	C06141
C00015	C06136
C00052	C06135
C00052	C06136
C06135	C06136
C00015	C00518
C00043	C00167
C00043	C00518
C00167	C00518
C00203	C04737
C03272	C04737
C00015	C07490
C00015	C14869
C00167	C07490
C00167	C14869
C07490	C14869
C00015	C15543
C00043	C15543
C04944	C15543
C00015	C04942
C00015	C15544
C00043	C04942
C00043	C15544
C04942	C15544
C00015	C15573
C00015	C15574
C00043	C15573
C00043	C15574
C15573	C15574
C00015	C15575
C00015	C15576
C00167	C15575
C00167	C15576
C15575	C15576
C00015	C15577
C00015	C15578
C00167	C15577
C00167	C15578
C15577	C15578
C00015	C15656
C00043	C04903
C00043	C15656
C04903	C15656
C00015	C11173
C00015	C11376
C00167	C11173
C00167	C11376
C11173	C11376
C00015	C06174
C00015	C16577
C00167	C06174
C00167	C16577
C06174	C16577
C00015	C01516
C00015	C16643
C00167	C01516
C00167	C16643
C01516	C16643
C00015	C16578
C00167	C16578
C01516	C16578
C00015	C00191
C00167	C00191
C00015	C19574
C00015	C19605
C00167	C19574
C00167	C19605
C19574	C19605
C00015	C19606
C00167	C19606
C19574	C19606
C00015	C19645
C00015	C19646
C00167	C19645
C00167	C19646
C19645	C19646
C00015	C02189
C00015	C19802
C00043	C02189
C00043	C19802
C02189	C19802
C00015	C19803
C00015	C19804
C00043	C19803
C00043	C19804
C19803	C19804
C00052	C04922
C04845	C04922
C00015	C20621
C00015	C20622
C00052	C20621
C00052	C20622
C20621	C20622
C00015	C20722
C00015	C20723
C00043	C20722
C00043	C20723
C20722	C20723
C00015	C20734
C00203	C20723
C00203	C20734
C20723	C20734
C00015	C03201
C00015	C20859
C00052	C03201
C00052	C20859
C03201	C20859
C00015	C03518
C00015	C04656
C00052	C03518
C00052	C04656
C03518	C04656
C00015	C21742
C00015	C21743
C00043	C21742
C00043	C21743
C21742	C21743
C00015	C03405
C00015	C22467
C00203	C03405
C00203	C22467
C03405	C22467
C00015	C23067
C00015	C23068
C00203	C23067
C00203	C23068
C23067	C23068
C00016	C00061
C00016	C00093
C00016	C00111
C00016	C01352
C00093	C00111
C00093	C01352
C00111	C01352
C00016	C00136
C00016	C00877
C00136	C00877
C00136	C01352
C00877	C01352
C00016	C00154
C00016	C05272
C00154	C01352
C00154	C05272
C01352	C05272
C00016	C00527
C00527	C00877
C00527	C01352
C00016	C00026
C00016	C02630
C00026	C01352
C00026	C02630
C01352	C02630
C00016	C01944
C00016	C05276
C01352	C01944
C01352	C05276
C01944	C05276
C00016	C01832
C00016	C03221
C01352	C01832
C01352	C03221
C01832	C03221
C00016	C02593
C00016	C05273
C01352	C02593
C01352	C05273
C02593	C05273
C00016	C02939
C00016	C03069
C01352	C02939
C01352	C03069
C02939	C03069
C00016	C05270
C00016	C05271
C01352	C05270
C01352	C05271
C05270	C05271
C00016	C05274
C00016	C05275
C01352	C05274
C01352	C05275
C05274	C05275
C00016	C16071
C00016	C16327
C00016	C16328
C01352	C16327
C01352	C16328
C16327	C16328
C00016	C16331
C00016	C16332
C01352	C16331
C01352	C16332
C16331	C16332
C00016	C16335
C00016	C16336
C01352	C16335
C01352	C16336
C16335	C16336
C00017	C00562
C00017	C00249
C00017	C06412
C00249	C06412
C00017	C01636
C00017	C02163
C00017	C16739
C01636	C02163
C01636	C16739
C02163	C16739
C00018	C00250
C00018	C00027
C00018	C00647
C00027	C00647
C00018	C00627
C00027	C00627
C00019	C00073
C00019	C01137
C00019	C00021
C00019	C00037
C00019	C00213
C00021	C00037
C00021	C00213
C00037	C00213
C00019	C00039
C00019	C02967
C00021	C00039
C00021	C02967
C00039	C02967
C00019	C01764
C00019	C03446
C00021	C01764
C00021	C03446
C01764	C03446
C00019	C04155
C00019	C17325
C00021	C04155
C00021	C17325
C04155	C17325
C00019	C01977
C00019	C04157
C00021	C01977
C00021	C04157
C01977	C04157
C00019	C04160
C00021	C04160
C01977	C04160
C00019	C00155
C00021	C00073
C00021	C00155
C00073	C00155
C00019	C00090
C00019	C01502
C00021	C00090
C00021	C01502
C00090	C01502
C00019	C00145
C00019	C20791
C00021	C00145
C00021	C20791
C00145	C20791
C00019	C00153
C00019	C02918
C00021	C00153
C00021	C02918
C00153	C02918
C00019	C00157
C00019	C04308
C00021	C00157
C00021	C04308
C00157	C04308
C00019	C00300
C00019	C00581
C00021	C00300
C00021	C00581
C00300	C00581
C00019	C00350
C00019	C01241
C00021	C00350
C00021	C01241
C00350	C01241
C00019	C00386
C00019	C01262
C00021	C00386
C00021	C01262
C00386	C01262
C00019	C00388
C00019	C05127
C00021	C00388
C00021	C05127
C00388	C05127
C00019	C00398
C00019	C06213
C00021	C00398
C00021	C06213
C00398	C06213
C00019	C00547
C00019	C00788
C00021	C00547
C00021	C00788
C00547	C00788
C00019	C05589
C00021	C05589
C00547	C05589
C00019	C00580
C00019	C01008
C00021	C00580
C00021	C01008
C00580	C01008
C00019	C00615
C00019	C04087
C00021	C00615
C00021	C04087
C00615	C04087
C00019	C00706
C00019	C02436
C00021	C00706
C00021	C02436
C00706	C02436
C00019	C00780
C00019	C06212
C00021	C00780
C00021	C06212
C00780	C06212
C00019	C04545
C00021	C04545
C01977	C04545
C00019	C05588
C00021	C05588
C00788	C05588
C00019	C00821
C00019	C03391
C00021	C00821
C00021	C03391
C00821	C03391
C00019	C00170
C00019	C00868
C00019	C04510
C00170	C00868
C00170	C04510
C00868	C04510
C00019	C00978
C00019	C01598
C00021	C00978
C00021	C01598
C00978	C01598
C00019	C01161
C00019	C05582
C00021	C01161
C00021	C05582
C01161	C05582
C01241	C04308
C00019	C01756
C00019	C16614
C00021	C01756
C00021	C16614
C01756	C16614
C00019	C01972
C00019	C04833
C00021	C01972
C00021	C04833
C01972	C04833
C00019	C02031
C00019	C02339
C00021	C02031
C00021	C02339
C02031	C02339
C00019	C02188
C00019	C05544
C00021	C02188
C00021	C05544
C02188	C05544
C00019	C04802
C00021	C04802
C02339	C04802
C00019	C02735
C00019	C03711
C00021	C02735
C00021	C03711
C02735	C03711
C00019	C02816
C00019	C03941
C00021	C02816
C00021	C03941
C02816	C03941
C00019	C03306
C00019	C04311
C00021	C03306
C00021	C04311
C03306	C04311
C00019	C03758
C00019	C05587
C00021	C03758
C00021	C05587
C03758	C05587
C00019	C04506
C00019	C04748
C00021	C04506
C00021	C04748
C04506	C04748
C00019	C05200
C00019	C05313
C00021	C05200
C00021	C05313
C05200	C05313
C00019	C05298
C00019	C05299
C00021	C05298
C00021	C05299
C05298	C05299
C00019	C05301
C00019	C05302
C00021	C05301
C00021	C05302
C05301	C05302
C00019	C00856
C00021	C00856
C00856	C02967
C00019	C05545
C00021	C05545
C05544	C05545
C00019	C05546
C00021	C05546
C05545	C05546
C00019	C05576
C00019	C05594
C00021	C05576
C00021	C05594
C05576	C05594
C00019	C05580
C00019	C05584
C00021	C05580
C00021	C05584
C05580	C05584
C00019	C05635
C00019	C05660
C00021	C05635
C00021	C05660
C05635	C05660
C00019	C05688
C00019	C05689
C00021	C05688
C00021	C05689
C05688	C05689
C00019	C06409
C00019	C06410
C00021	C06409
C00021	C06410
C06409	C06410
C00019	C15571
C00019	C15572
C00021	C15571
C00021	C15572
C15571	C15572
C00019	C00283
C00019	C05198
C00019	C14818
C00019	C16236
C00019	C16832
C00019	C22150
C00019	C22151
C00019	C22154
C00019	C22155
C00073	C00283
C00073	C05198
C00073	C14818
C00073	C16236
C00073	C16832
C00073	C22150
C00073	C22151
C00073	C22154
C00073	C22155
C00283	C05198
C00283	C14818
C00283	C16236
C00283	C16832
C00283	C22150
C00283	C22151
C00283	C22154
C00283	C22155
C05198	C14818
C05198	C16236
C05198	C16832
C05198	C22150
C05198	C22151
C05198	C22154
C05198	C22155
C14818	C16236
C14818	C16832
C14818	C22150
C14818	C22151
C14818	C22154
C14818	C22155
C16236	C16832
C16236	C22150
C16236	C22151
C16236	C22154
C16236	C22155
C16832	C22150
C16832	C22151
C16832	C22154
C16832	C22155
C22150	C22151
C22150	C22154
C22150	C22155
C22151	C22154
C22151	C22155
C22154	C22155
C00019	C02380
C00021	C02380
C02380	C16614
C00019	C04646
C00019	C16615
C00021	C04646
C00021	C16615
C04646	C16615
C00019	C16619
C00019	C16620
C00021	C16619
C00021	C16620
C16619	C16620
C00019	C08299
C00021	C08299
C06212	C08299
C00019	C17554
C00019	C17559
C00021	C17554
C00021	C17559
C17554	C17559
C00019	C00399
C00019	C17562
C00021	C00399
C00021	C17562
C00399	C17562
C00019	C02535
C00019	C18872
C00021	C02535
C00021	C18872
C02535	C18872
C00019	C00028
C00019	C00030
C00019	C21310
C00028	C00030
C00028	C00073
C00028	C05198
C00028	C21310
C00030	C00073
C00030	C05198
C00030	C21310
C00073	C21310
C05198	C21310
C00019	C19858
C00019	C19859
C00021	C19858
C00021	C19859
C19858	C19859
C00019	C04441
C00019	C20663
C00170	C04441
C00170	C20663
C04441	C20663
C00019	C20647
C00019	C20648
C00021	C20647
C00021	C20648
C20647	C20648
C00019	C20649
C00019	C20652
C00021	C20649
C00021	C20652
C20649	C20652
C00019	C00022
C00019	C20688
C00019	C20691
C00022	C00073
C00022	C05198
C00022	C20688
C00022	C20691
C00073	C20688
C00073	C20691
C05198	C20688
C05198	C20691
C20688	C20691
C00019	C20659
C00021	C20659
C20649	C20659
C00019	C20660
C00021	C20660
C20659	C20660
C00170	C20652
C00170	C20691
C20652	C20691
C00019	C17023
C00019	C20751
C00019	C20752
C00021	C05198
C00021	C17023
C00021	C20751
C00021	C20752
C00073	C17023
C00073	C20751
C00073	C20752
C05198	C17023
C05198	C20751
C05198	C20752
C17023	C20751
C17023	C20752
C20751	C20752
C00019	C20754
C00073	C20754
C05198	C20754
C17023	C20754
C20751	C20754
C00021	C20754
C20752	C20754
C00019	C20796
C00021	C20796
C20648	C20796
C00019	C02583
C00019	C20858
C00021	C02583
C00021	C20858
C02583	C20858
C00019	C20862
C00021	C20862
C04802	C20862
C00019	C21151
C00021	C04441
C00021	C21151
C04441	C21151
C00019	C00613
C00019	C04143
C00021	C00613
C00021	C04143
C00613	C04143
C00019	C21188
C00021	C21188
C04143	C21188
C00019	C21189
C00021	C21189
C04143	C21189
C00613	C21188
C00613	C21189
C00019	C21798
C00019	C21799
C00021	C21798
C00021	C21799
C21798	C21799
C00019	C21844
C00019	C21845
C00021	C21844
C00021	C21845
C21844	C21845
C00019	C15973
C00019	C22160
C00073	C15973
C00073	C22160
C00283	C15973
C00283	C22160
C05198	C15973
C05198	C22160
C14818	C15973
C14818	C22160
C15973	C22150
C15973	C22151
C15973	C22154
C15973	C22155
C15973	C22160
C22150	C22160
C22151	C22160
C22154	C22160
C22155	C22160
C00019	C02972
C00019	C22159
C00073	C02972
C00073	C22159
C00283	C02972
C00283	C22159
C02972	C05198
C02972	C14818
C02972	C22150
C02972	C22151
C02972	C22154
C02972	C22155
C02972	C22159
C05198	C22159
C14818	C22159
C22150	C22159
C22151	C22159
C22154	C22159
C22155	C22159
C00019	C00390
C00019	C21860
C00021	C00390
C00021	C21860
C00390	C21860
C00019	C00051
C00019	C00342
C00019	C00343
C00019	C07295
C00019	C22431
C00021	C00051
C00021	C00342
C00021	C00343
C00021	C07295
C00021	C22431
C00051	C00342
C00051	C00343
C00051	C07295
C00051	C22431
C00342	C07295
C00342	C22431
C00343	C07295
C00343	C22431
C07295	C22431
C00019	C20300
C00021	C20300
C00051	C20300
C00342	C20300
C00343	C20300
C20300	C22431
C00019	C22417
C00021	C22417
C00051	C22417
C00342	C22417
C00343	C22417
C22417	C22431
C00021	C00212
C00155	C00212
C00022	C00068
C00022	C05125
C00068	C05125
C00022	C00125
C00022	C00126
C00022	C00256
C00125	C00126
C00125	C00256
C00126	C00256
C00022	C00149
C00022	C00036
C00022	C00065
C00022	C00024
C00022	C01011
C00024	C01011
C00022	C00025
C00022	C00026
C00022	C00041
C00025	C00026
C00025	C00041
C00026	C00041
C00022	C00288
C00036	C00288
C00022	C00037
C00022	C00048
C00037	C00041
C00037	C00048
C00041	C00048
C00022	C01127
C00048	C01127
C00022	C05946
C00048	C05946
C00022	C00060
C00022	C02119
C00060	C02119
C00022	C00063
C00022	C00112
C00063	C00074
C00063	C00112
C00074	C00112
C00022	C00168
C00041	C00065
C00041	C00168
C00065	C00168
C00022	C00186
C00022	C00104
C00074	C00104
C00022	C00097
C00022	C00283
C00097	C00283
C00022	C00122
C00022	C02514
C00122	C02514
C00022	C00131
C00022	C00206
C00074	C00131
C00074	C00206
C00131	C00206
C00022	C00155
C00022	C02291
C00155	C02291
C00022	C15972
C00022	C16255
C15972	C16255
C00022	C00270
C00022	C00645
C00270	C00645
C00022	C00286
C00022	C00361
C00074	C00286
C00074	C00361
C00286	C00361
C00022	C00349
C00022	C01205
C00041	C00349
C00041	C01205
C00349	C01205
C00022	C00201
C00022	C00454
C00074	C00201
C00074	C00454
C00201	C00454
C00022	C00491
C00022	C01962
C00491	C01962
C00022	C00812
C00022	C02749
C00812	C02749
C00022	C00342
C00022	C00343
C00022	C00957
C00283	C00342
C00283	C00343
C00283	C00957
C00342	C00957
C00343	C00957
C00022	C01336
C00022	C02882
C01336	C02882
C00022	C05698
C00022	C05699
C05698	C05699
C00022	C00027
C00022	C00133
C00027	C00133
C00022	C05689
C00022	C05703
C05689	C05703
C00022	C20485
C00048	C20485
C00022	C00109
C00022	C02356
C00041	C00109
C00041	C02356
C00109	C02356
C00022	C20904
C00022	C00145
C00145	C02882
C00022	C02743
C00022	C21440
C00957	C02743
C00957	C21440
C02743	C21440
C00022	C22382
C00645	C22382
C00024	C00033
C00024	C00083
C00024	C05993
C00024	C00332
C00024	C00025
C00024	C00624
C00025	C00624
C00024	C00036
C00024	C00158
C00036	C00158
C00024	C00037
C00024	C03508
C00037	C03508
C00024	C00040
C00024	C00264
C00040	C00264
C00024	C00049
C00024	C01042
C00049	C01042
C00024	C00222
C00024	C00288
C00083	C00288
C00024	C00091
C00024	C02232
C00091	C02232
C00024	C00100
C00024	C03344
C00100	C03344
C00024	C00114
C00024	C01996
C00114	C01996
C00024	C00134
C00024	C02714
C00134	C02714
C00024	C00135
C00024	C02997
C00135	C02997
C00024	C00136
C00024	C05269
C00136	C05269
C00024	C00164
C00024	C00356
C00164	C00356
C00024	C00229
C00024	C03939
C00229	C03939
C00332	C00356
C00024	C00352
C00024	C00357
C00352	C00357
C00024	C00292
C00024	C07565
C00292	C07565
C00024	C00487
C00024	C02571
C00487	C02571
C00024	C15973
C00024	C16255
C15973	C16255
C00024	C00780
C00024	C00978
C00780	C00978
C00024	C04317
C00024	C04598
C04317	C04598
C00024	C01997
C00024	C02415
C01997	C02415
C00024	C15534
C00024	C15535
C15534	C15535
C00024	C01944
C00024	C05265
C01944	C05265
C00024	C01832
C00024	C05261
C01832	C05261
C00024	C02297
C00024	C03687
C02297	C03687
C00024	C02593
C00024	C05259
C02593	C05259
C00024	C03318
C00024	C04149
C03318	C04149
C00024	C04419
C00024	C06250
C00083	C04419
C00083	C06250
C04419	C06250
C00024	C04384
C00024	C04649
C04384	C04649
C00024	C05263
C00024	C05274
C05263	C05274
C00024	C05267
C00024	C05270
C05267	C05270
C00024	C05726
C00024	C05727
C05726	C05727
C00024	C00638
C00083	C00638
C00024	C00512
C00024	C07118
C00512	C07118
C00024	C00527
C00024	C06715
C00527	C06715
C00024	C16330
C00024	C16331
C16330	C16331
C00024	C16334
C00024	C16335
C16334	C16335
C00024	C16338
C00024	C16339
C16338	C16339
C00024	C16169
C00024	C16376
C16169	C16376
C00024	C16173
C00024	C16389
C16173	C16389
C00024	C16396
C00024	C16420
C16396	C16420
C00024	C16466
C00024	C16470
C16466	C16470
C00024	C03069
C00024	C16471
C03069	C16471
C00024	C07054
C00024	C07585
C07054	C07585
C00024	C07447
C00024	C16622
C07447	C16622
C00024	C05361
C05361	C07447
C00024	C22490
C00024	C22491
C22490	C22491
C00024	C00128
C00024	C22979
C00128	C22979
C00024	C23016
C00024	C23017
C23016	C23017
C00024	C23006
C00024	C23007
C23006	C23007
C00024	C23021
C00024	C23022
C23021	C23022
C00024	C02188
C00024	C20743
C02188	C20743
C00025	C03287
C00025	C01165
C00025	C01879
C00025	C00064
C00025	C00857
C00064	C00857
C00025	C00334
C00025	C00036
C00025	C00049
C00026	C00036
C00026	C00049
C00036	C00049
C00025	C00037
C00025	C00048
C00026	C00037
C00026	C00048
C00025	C00051
C00025	C01419
C00051	C01419
C00025	C00063
C00025	C00075
C00063	C00064
C00063	C00075
C00064	C00075
C00025	C00169
C00025	C00288
C00064	C00169
C00064	C00288
C00169	C00288
C00025	C00152
C00049	C00064
C00049	C00152
C00064	C00152
C00025	C00077
C00026	C00077
C00026	C01165
C00077	C01165
C00025	C04322
C00026	C04322
C00077	C04322
C00025	C00079
C00025	C00166
C00026	C00079
C00026	C00166
C00079	C00166
C00025	C03912
C00025	C00082
C00025	C01179
C00026	C00082
C00026	C01179
C00082	C01179
C00025	C00085
C00025	C00352
C00064	C00085
C00064	C00352
C00085	C00352
C00025	C00097
C00025	C00669
C00097	C00669
C00025	C00957
C00026	C00097
C00026	C00957
C00097	C00957
C00025	C00099
C00025	C00222
C00026	C00099
C00026	C00222
C00099	C00222
C00025	C00101
C00025	C09332
C00101	C09332
C00025	C00119
C00025	C03090
C00064	C00119
C00064	C03090
C00119	C03090
C00025	C00123
C00025	C00233
C00026	C00123
C00026	C00233
C00123	C00233
C00025	C00141
C00025	C00183
C00026	C00141
C00026	C00183
C00141	C00183
C00025	C00144
C00025	C00655
C00064	C00144
C00064	C00655
C00144	C00655
C00025	C00232
C00026	C00232
C00026	C00334
C00232	C00334
C00025	C00234
C00025	C05928
C00234	C05928
C00025	C00322
C00025	C00956
C00026	C00322
C00026	C00956
C00322	C00956
C00025	C00328
C00025	C01252
C00026	C00328
C00026	C01252
C00328	C01252
C00025	C00407
C00025	C00671
C00026	C00407
C00026	C00671
C00407	C00671
C00025	C00415
C00025	C00921
C00415	C00921
C00025	C00439
C00025	C00664
C00101	C00439
C00101	C00664
C00439	C00664
C00025	C00449
C00025	C04076
C00449	C04076
C00025	C00506
C00025	C05528
C00026	C00506
C00026	C05528
C00506	C05528
C00025	C00606
C00025	C05527
C00026	C00606
C00026	C05527
C00606	C05527
C00025	C01045
C00025	C03479
C00101	C01045
C00101	C03479
C01045	C03479
C00025	C02282
C00025	C06112
C00064	C02282
C00064	C06112
C02282	C06112
C00025	C02320
C00025	C05729
C02320	C05729
C00025	C02512
C00025	C05711
C02512	C05711
C00025	C05670
C00025	C06114
C05670	C06114
C00025	C03227
C00025	C05645
C00026	C03227
C00026	C05645
C03227	C05645
C00025	C01005
C00025	C03232
C00026	C01005
C00026	C03232
C01005	C03232
C00025	C03284
C00025	C06002
C00026	C03284
C00026	C06002
C03284	C06002
C00025	C03402
C00025	C06113
C00064	C03402
C00064	C06113
C03402	C06113
C00025	C03541
C00101	C03541
C00025	C04376
C00025	C04640
C00064	C04376
C00064	C04640
C04376	C04640
C00025	C05946
C00025	C05947
C00026	C05946
C00026	C05947
C05946	C05947
C00025	C06054
C00025	C06055
C00026	C06054
C00026	C06055
C06054	C06055
C00025	C05929
C05928	C05929
C00025	C01641
C00025	C02987
C01641	C02987
C00025	C00073
C00025	C01180
C00026	C00073
C00026	C01180
C00073	C01180
C00025	C16618
C00025	C16619
C00064	C16618
C00064	C16619
C16618	C16619
C00025	C02166
C00025	C05951
C02166	C05951
C00025	C00158
C00025	C20775
C00158	C20775
C00025	C01042
C00025	C12270
C01042	C12270
C00025	C20776
C01042	C20776
C12270	C20776
C00025	C00109
C00025	C02356
C00026	C00109
C00026	C02356
C00025	C21015
C02356	C21015
C00025	C01717
C00026	C01717
C00328	C01717
C00026	C00433
C00026	C00311
C00026	C05379
C00026	C00940
C00026	C00028
C00026	C00030
C00026	C03196
C00028	C03196
C00030	C03196
C00026	C00068
C00026	C05381
C00068	C05381
C00026	C00047
C00026	C00449
C00047	C00449
C00026	C00302
C00097	C00302
C00302	C00957
C00026	C00042
C00026	C00148
C00026	C01157
C00042	C00148
C00042	C01157
C00148	C01157
C00026	C15972
C00026	C16254
C15972	C16254
C00026	C00487
C00026	C01181
C00042	C00487
C00042	C01181
C00487	C01181
C00026	C01078
C00026	C04397
C00042	C01078
C00042	C04397
C01078	C04397
C00026	C04398
C00042	C04398
C01078	C04398
C00026	C00164
C00026	C01087
C00026	C03197
C00164	C01087
C00164	C03197
C01087	C03197
C00026	C01211
C00026	C02188
C00042	C01211
C00042	C02188
C01211	C02188
C00026	C01259
C00026	C03793
C00042	C01259
C00042	C03793
C01259	C03793
C00026	C02871
C00026	C03957
C00042	C02871
C00042	C03957
C02871	C03957
C00026	C02060
C00026	C07343
C00042	C02060
C00042	C07343
C02060	C07343
C00026	C00067
C00026	C05544
C00026	C05545
C00042	C00067
C00042	C05544
C00042	C05545
C00067	C05544
C00067	C05545
C00067	C02188
C02188	C05545
C00026	C20649
C00026	C20661
C00042	C20649
C00042	C20661
C20649	C20661
C00028	C01087
C00030	C01087
C00026	C02967
C00026	C21031
C00042	C02967
C00042	C21031
C02967	C21031
C00026	C00821
C00026	C03391
C00042	C00821
C00042	C03391
C00067	C00821
C00067	C03391
C00026	C01419
C00026	C21858
C01419	C21858
C00026	C22076
C00042	C22076
C02188	C22076
C00026	C05546
C00042	C05546
C00067	C05546
C05544	C05546
C02188	C05546
C00026	C00613
C00026	C22296
C00042	C00613
C00042	C22296
C00613	C22296
C00026	C00615
C00026	C22519
C00042	C00615
C00042	C22519
C00615	C22519
C00026	C22620
C00042	C22620
C21031	C22620
C00026	C22621
C00042	C22621
C22620	C22621
C00027	C01525
C00027	C02318
C01525	C02318
C00027	C03680
C00027	C05565
C03680	C05565
C00027	C00051
C00027	C00127
C00051	C00127
C00027	C00704
C00027	C00036
C00027	C00049
C00027	C00402
C00036	C00402
C00027	C00037
C00027	C00048
C00027	C00040
C00027	C00658
C00040	C00658
C00027	C00160
C00048	C00160
C00027	C00059
C00027	C00094
C00059	C00094
C00027	C00067
C00027	C00132
C00067	C00132
C00027	C00213
C00037	C00067
C00067	C00213
C00027	C00060
C00027	C00071
C00060	C00071
C00027	C00073
C00027	C01180
C00027	C00078
C00027	C00331
C00078	C00331
C00027	C00079
C00027	C00166
C00027	C00082
C00027	C01179
C00027	C00134
C00027	C00555
C00134	C00555
C00027	C00151
C00027	C00161
C00151	C00161
C00027	C00405
C00161	C00405
C00027	C15565
C00161	C15565
C00027	C00250
C00027	C00847
C00250	C00847
C00027	C00534
C00250	C00534
C00027	C00314
C00250	C00314
C00027	C00262
C00027	C00385
C00262	C00385
C00027	C00283
C00027	C00409
C00067	C00283
C00067	C00409
C00283	C00409
C00027	C00375
C00071	C00375
C00027	C00366
C00366	C00385
C00027	C00376
C00027	C00777
C00376	C00777
C00027	C00388
C00027	C05130
C00388	C05130
C00027	C00398
C00027	C00637
C00398	C00637
C00027	C00407
C00027	C00671
C00027	C00408
C00027	C00450
C00408	C00450
C00027	C00483
C00027	C03765
C00483	C03765
C00027	C00515
C00027	C01110
C00515	C01110
C00027	C00546
C00027	C01888
C00546	C01888
C00027	C00547
C00027	C05577
C00547	C05577
C00027	C00601
