source	target
C00012	C00148
C00012	C00245
C00012	C03193
C00012	C05844
C00245	C03193
C00245	C05844
C03193	C05844
C00012	C00045
C00012	C03363
C00045	C03193
C00045	C03363
C03193	C03363
C00012	C05689
C00012	C05695
C03193	C05689
C03193	C05695
C05689	C05695
C00012	C04506
C00012	C20120
C04506	C20120
C00015	C00075
C00015	C00029
C00015	C00718
C00029	C00718
C00015	C00043
C00015	C00645
C00043	C00645
C00015	C00046
C00015	C00031
C00015	C00052
C00015	C00243
C00031	C00052
C00031	C00243
C00052	C00243
C00015	C00022
C00015	C00074
C00022	C00074
C00022	C00075
C00074	C00075
C00015	C00085
C00015	C00354
C00075	C00085
C00075	C00354
C00085	C00354
C00015	C00110
C00015	C01246
C00029	C00110
C00029	C01246
C00110	C01246
C00015	C00140
C00015	C00611
C00052	C00140
C00052	C00611
C00140	C00611
C00015	C00167
C00015	C01335
C00015	C03033
C00167	C01335
C00167	C03033
C01335	C03033
C00015	C00195
C00015	C01190
C00029	C00195
C00029	C01190
C00195	C01190
C00015	C02686
C00052	C00195
C00052	C02686
C00195	C02686
C00015	C00319
C00015	C01747
C00052	C00319
C00052	C01747
C00319	C01747
C00015	C00342
C00015	C00343
C00015	C01346
C00342	C00343
C00342	C01346
C00343	C01346
C00015	C00203
C00015	C00403
C00015	C04387
C00203	C00403
C00203	C04387
C00403	C04387
C00015	C00468
C00015	C11133
C00167	C00468
C00167	C11133
C00468	C11133
C00015	C00486
C00015	C05787
C00167	C00486
C00167	C05787
C00486	C05787
C00015	C00523
C00015	C11135
C00167	C00523
C00167	C11135
C00523	C11135
C00015	C00535
C00015	C11134
C00167	C00535
C00167	C11134
C00535	C11134
C00015	C01194
C00015	C01288
C00043	C01194
C00043	C01288
C01194	C01288
C00015	C00694
C00015	C04890
C00043	C00694
C00043	C04890
C00694	C04890
C00015	C04891
C00043	C04891
C00694	C04891
C00015	C04855
C00052	C00694
C00052	C04855
C00694	C04855
C00015	C00777
C00015	C11061
C00167	C00777
C00167	C11061
C00777	C11061
C00015	C00951
C00015	C05503
C00167	C00951
C00167	C05503
C00951	C05503
C00015	C01097
C00015	C03785
C00075	C01097
C00075	C03785
C01097	C03785
C00015	C01290
C00052	C01190
C00052	C01290
C01190	C01290
C00015	C01211
C00015	C04487
C00052	C01211
C00052	C04487
C01211	C04487
C00015	C04737
C00052	C04737
C01290	C04737
C00015	C06135
C00203	C01290
C00203	C06135
C01290	C06135
C00015	C01306
C00043	C01306
C00043	C04387
C01306	C04387
C00015	C01702
C00015	C02687
C00029	C01702
C00029	C02687
C01702	C02687
C00015	C03272
C00015	C04925
C00203	C03272
C00203	C04925
C03272	C04925
C00015	C03823
C00015	C04708
C00052	C03823
C00052	C04708
C03823	C04708
C00015	C04373
C00015	C11136
C00167	C04373
C00167	C11136
C04373	C11136
C00015	C05299
C00015	C11132
C00167	C05299
C00167	C11132
C05299	C11132
C00015	C05302
C00015	C11131
C00167	C05302
C00167	C11131
C05302	C11131
C00015	C04648
C00015	C06483
C00203	C04648
C00203	C06483
C04648	C06483
C00015	C04759
C00029	C04487
C00029	C04759
C04487	C04759
C00015	C04845
C00043	C01290
C00043	C04845
C01290	C04845
C00015	C04500
C00015	C04537
C00043	C04500
C00043	C04537
C04500	C04537
C00015	C04502
C00015	C04818
C00052	C04502
C00052	C04818
C04502	C04818
C00015	C04847
C00052	C04847
C00611	C04847
C00015	C04866
C00052	C04648
C00052	C04866
C04648	C04866
C00015	C04750
C00015	C04902
C00043	C04750
C00043	C04902
C04750	C04902
C00015	C04730
C00015	C04884
C00203	C04730
C00203	C04884
C04730	C04884
C00015	C04800
C00015	C04913
C00203	C04800
C00203	C04913
C04800	C04913
C00015	C04825
C00015	C04903
C00167	C04825
C00167	C04903
C04825	C04903
C00015	C04910
