query,ncbi_gene_id,matched_symbol
C3,718,C3
C3AR1,719,C3AR1
C5,727,C5
C5AR1,728,C5AR1
CCL2,6347,CCL2
CCR2,729230,CCR2
CCR5,1234,CCR5
CD163,9332,CD163
CD163L1,283316,CD163L1
CD209,30835,CD209
CD46,4179,CD46
CD55,1604,CD55
CD59,966,CD59
CFB,629,CFB
CFH,3075,CFH
CFHR1,3078,CFHR1
CFHR2,3080,CFHR2
CFHR3,10878,CFHR3
CFHR5,81494,CFHR5
CFI,3426,CFI
CFP,5199,CFP
COL4A3,1285,COL4A3
COL4A4,1286,COL4A4
COL4A5,1287,COL4A5
CORO1A,11151,CORO1A
CR1,1378,CR1
CXCL10,3627,CXCL10
DGKE,8526,DGKE
GPR183,1880,GPR183
HAVCR1,26762,HAVCR1
IL2RB,3560,IL2RB
IL6,3569,IL6
IL7R,3575,IL7R
ITGAM,3684,ITGAM
ITGB2,3689,ITGB2
LAMB2,84823,LMNB2
LILRB5,10990,LILRB5
MRC1,4360,MRC1
NPHS1,4868,NPHS1
NPHS2,7827,NPHS2
TGFB1,7040,TGFB1
THBD,7056,THBD
UMOD,7369,UMOD
VIM,7431,VIM
VSIG4,11326,VSIG4
VTN,7448,VTN
CFHR-1,,
IgG_ctrl,,
NPHS1-201,,
VSIG-4,,
spot_ctrl_07,,
