source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:04610,Complement and coagulation cascades,1.2062011734808635e-36,True,Complement and coagulation cascades,86,20,19,8716,0.95,0.22093023255813954,query_1,['KEGG:00000']
REAC,REAC:R-HSA-977606,Regulation of Complement cascade,1.9828014465052985e-30,True,Regulation of Complement cascade,101,20,17,11056,0.85,0.16831683168316833,query_1,['REAC:R-HSA-166658']
REAC,REAC:R-HSA-166658,Complement cascade,1.1274043371329193e-29,True,Complement cascade,111,20,17,11056,0.85,0.15315315315315314,query_1,['REAC:R-HSA-168249']
GO:BP,GO:0006956,complement activation,4.7812537298974913e-29,True,"""Any process involved in the activation of any of the steps of the complement cascade, which allows for the direct killing of microbes, the disposal of immune complexes, and the regulation of other immune processes; the initial steps of complement activation involve one of three pathways, the classical pathway, the alternative pathway, and the lectin pathway, all of which lead to the terminal complement pathway."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",62,20,14,20972,0.7,0.22580645161290322,query_1,"['GO:0002252', 'GO:0002253', 'GO:0006959']"
GO:BP,GO:0050778,positive regulation of immune response,3.775876745830188e-21,True,"""Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",775,20,18,20972,0.9,0.023225806451612905,query_1,"['GO:0002684', 'GO:0006955', 'GO:0048584', 'GO:0050776']"
GO:BP,GO:0002253,activation of immune response,4.369960649577154e-21,True,"""Any process that initiates an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",581,20,17,20972,0.85,0.029259896729776247,query_1,"['GO:0002376', 'GO:0050778']"
GO:BP,GO:0006959,humoral immune response,1.4601222574862093e-19,True,"""An immune response mediated through a body fluid."" [GOC:hb, ISBN:0198506732]",271,20,14,20972,0.7,0.05166051660516605,query_1,['GO:0006955']
GO:BP,GO:0050776,regulation of immune response,2.1927373527289464e-19,True,"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",970,20,18,20972,0.9,0.018556701030927835,query_1,"['GO:0002682', 'GO:0006955', 'GO:0048583']"
GO:BP,GO:0002684,positive regulation of immune system process,2.540601638096249e-18,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1111,20,18,20972,0.9,0.016201620162016202,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
GO:BP,GO:0002252,immune effector process,1.684811409048748e-17,True,"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",710,20,16,20972,0.8,0.022535211267605635,query_1,['GO:0002376']
GO:BP,GO:0048584,positive regulation of response to stimulus,1.094085467660811e-16,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2320,20,20,20972,1.0,0.008620689655172414,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
REAC,REAC:R-HSA-168249,Innate Immune System,5.037594247846408e-16,True,Innate Immune System,1102,20,19,11056,0.95,0.017241379310344827,query_1,['REAC:R-HSA-168256']
GO:BP,GO:0002682,regulation of immune system process,1.6787106729653308e-15,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,20,18,20972,0.9,0.011292346298619825,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0006955,immune response,3.171248731390786e-15,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2118,20,19,20972,0.95,0.008970727101038715,query_1,"['GO:0002376', 'GO:0050896']"
