source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:01240,Biosynthesis of cofactors,0.08908177292224218,False,Biosynthesis of cofactors,154,28,4,8716,0.14285714285714285,0.025974025974025976,query_1,['KEGG:00000']
KEGG,KEGG:04610,Complement and coagulation cascades,0.16424398327366133,False,Complement and coagulation cascades,86,28,3,8716,0.10714285714285714,0.03488372093023256,query_1,['KEGG:00000']
KEGG,KEGG:01040,Biosynthesis of unsaturated fatty acids,0.21473250885650702,False,Biosynthesis of unsaturated fatty acids,27,28,2,8716,0.07142857142857142,0.07407407407407407,query_1,['KEGG:00000']
KEGG,KEGG:00062,Fatty acid elongation,0.23079230745942234,False,Fatty acid elongation,28,28,2,8716,0.07142857142857142,0.07142857142857142,query_1,['KEGG:00000']
REAC,REAC:R-HSA-166658,Complement cascade,0.2358532723377697,False,Complement cascade,111,39,4,11056,0.10256410256410256,0.036036036036036036,query_1,['REAC:R-HSA-168249']
KEGG,KEGG:00053,Ascorbate and aldarate metabolism,0.2822278694649001,False,Ascorbate and aldarate metabolism,31,28,2,8716,0.07142857142857142,0.06451612903225806,query_1,['KEGG:00000']
KEGG,KEGG:00040,Pentose and glucuronate interconversions,0.37860478838187067,False,Pentose and glucuronate interconversions,36,28,2,8716,0.07142857142857142,0.05555555555555555,query_1,['KEGG:00000']
KEGG,KEGG:01250,Biosynthesis of nucleotide sugars,0.399447716489931,False,Biosynthesis of nucleotide sugars,37,28,2,8716,0.07142857142857142,0.05405405405405406,query_1,['KEGG:00000']
KEGG,KEGG:00520,Amino sugar and nucleotide sugar metabolism,0.4208054404532807,False,Amino sugar and nucleotide sugar metabolism,38,28,2,8716,0.07142857142857142,0.05263157894736842,query_1,['KEGG:00000']
KEGG,KEGG:04913,Ovarian steroidogenesis,0.7720569614370608,False,Ovarian steroidogenesis,52,28,2,8716,0.07142857142857142,0.038461538461538464,query_1,['KEGG:00000']
GO:BP,GO:0090183,regulation of kidney development,1.0,False,"""Any process that modulates the rate, frequency or extent of kidney development. Kidney development is the process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and excretes the end products of body metabolism in the form of urine."" [GOC:dph, GOC:tb, GOC:yaf]",34,54,1,20972,0.018518518518518517,0.029411764705882353,query_1,"['GO:0001822', 'GO:0050793']"
GO:BP,GO:0090150,establishment of protein localization to membrane,1.0,False,"""The directed movement of a protein to a specific location in a membrane."" [GOC:ascb_2009, GOC:dph, GOC:tb]",484,54,2,20972,0.037037037037037035,0.004132231404958678,query_1,"['GO:0045184', 'GO:0051668']"
GO:BP,GO:0090141,positive regulation of mitochondrial fission,1.0,False,"""Any process that increases the rate, frequency or extent of mitochondrial fission. Mitochondrial fission is the division of a mitochondrion within a cell to form two or more separate mitochondrial compartments."" [GOC:ascb_2009, GOC:dph, GOC:tb]",20,54,1,20972,0.018518518518518517,0.05,query_1,"['GO:0000266', 'GO:0010638', 'GO:0051094', 'GO:0090140']"
GO:BP,GO:0090140,regulation of mitochondrial fission,1.0,False,"""Any process that modulates the rate, frequency or extent of mitochondrial fission. Mitochondrial fission is the division of a mitochondrion within a cell to form two or more separate mitochondrial compartments."" [GOC:ascb_2009, GOC:dph, GOC:tb]",29,54,1,20972,0.018518518518518517,0.034482758620689655,query_1,"['GO:0000266', 'GO:0010821', 'GO:0022603']"
GO:BP,GO:0080134,regulation of response to stress,1.0,False,"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]",1410,54,7,20972,0.12962962962962962,0.004964539007092199,query_1,"['GO:0006950', 'GO:0048583']"
GO:BP,GO:0090087,regulation of peptide transport,1.0,False,"""Any process that modulates the frequency, rate or extent of the directed movement of peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:dph, GOC:tb]",209,54,1,20972,0.018518518518518517,0.004784688995215311,query_1,"['GO:0015833', 'GO:0051049']"
GO:BP,GO:0090077,foam cell differentiation,1.0,False,"""The process in which a relatively unspecialized cell acquires the specialized features of a foam cell. A foam cell is a type of cell containing lipids in small vacuoles and typically seen in atherosclerotic lesions, as well as other conditions."" [GOC:add, GOC:BHF, GOC:dph, GOC:tb]",38,54,1,20972,0.018518518518518517,0.02631578947368421,query_1,['GO:0030154']
GO:BP,GO:0085017,entry into host cell by a symbiont-containing vacuole,1.0,False,"""The invasion by a symbiont of a cell of a host organism, forming a vacuole in which the symbiont resides. The vacuole membrane is formed from lipids and proteins derived from both host and symbiont. Begins when the symbiont attaches on to the host cell membrane which invaginates and deepens as the symbiont enters, and ends when the host cell membrane closes behind the newly-formed vacuole."" [GOC:jl, PMID:18665841, PMID:8690024, PMID:9580555]",1,54,1,20972,0.018518518518518517,1.0,query_1,['GO:0046718']
GO:BP,GO:0072207,metanephric epithelium development,1.0,False,"""The process whose specific outcome is the progression of an epithelium in the metanephros over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:mtg_kidney_jan10]",29,54,2,20972,0.037037037037037035,0.06896551724137931,query_1,"['GO:0001656', 'GO:0072073']"
GO:BP,GO:0090090,negative regulation of canonical Wnt signaling pathway,1.0,False,"""Any process that decreases the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes."" [GOC:dph, GOC:tb]",137,54,1,20972,0.018518518518518517,0.0072992700729927005,query_1,"['GO:0030178', 'GO:0060070', 'GO:0060828']"
