source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0072210,metanephric nephron development,1.0,False,"""The process whose specific outcome is the progression of a nephron in the metanephros over time, from its formation to the mature structure. A nephron is the functional unit of the kidney."" [GOC:mtg_kidney_jan10]",40,54,1,20972,0.018518518518518517,0.025,query_1,"['GO:0001656', 'GO:0072006']"
GO:BP,GO:0072234,metanephric nephron tubule development,1.0,False,"""The progression of a metanephric nephron tubule over time, from its initial formation to the mature structure. A metanephric nephron tubule is an epithelial tube that is part of the metanephric nephron, the functional part of the metanephros."" [GOC:mtg_kidney_jan10]",23,54,2,20972,0.037037037037037035,0.08695652173913043,query_1,"['GO:0072080', 'GO:0072170', 'GO:0072243']"
GO:BP,GO:0072221,metanephric distal convoluted tubule development,1.0,False,"""The process whose specific outcome is the progression of the metanephric distal convoluted tubule over time, from its formation to the mature structure. The metanephric distal convoluted tubule is the first segment of the metanephric nephron lying just downstream from the loop of Henle, immediately after the macula densa. Among other functions, in humans it is responsible for the reabsorption of about 5% of filtered sodium via the thiazide-sensitive Na-Cl symporter."" [GOC:mtg_kidney_jan10]",5,54,1,20972,0.018518518518518517,0.2,query_1,"['GO:0072025', 'GO:0072234', 'GO:0072235']"
GO:BP,GO:0072224,metanephric glomerulus development,1.0,False,"""The progression of the metanephric glomerulus over time from its initial formation until its mature state. The metanephric glomerulus is a capillary tuft which forms a close network with the visceral epithelium (podocytes) and the mesangium to form the filtration barrier and is surrounded by Bowman's capsule in nephrons of the mature vertebrate kidney, or metanephros."" [GOC:mah]",17,54,1,20972,0.018518518518518517,0.058823529411764705,query_1,"['GO:0032835', 'GO:0072210']"
GO:BP,GO:0072233,metanephric thick ascending limb development,1.0,False,"""The process whose specific outcome is the progression of the metanephric thick ascending limb over time, from its formation to the mature structure. The metanephric thick ascending limb is the last part of the metanephric loop of Henle. Its thick, mitochondria-rich epithelium characterizes the outer medulla, and is responsible for very avid active salt transport. At the macula densa, the thick ascending limb connects to the distal convoluted tubule."" [GOC:mtg_kidney_jan10]",2,54,1,20972,0.018518518518518517,0.5,query_1,"['GO:0072023', 'GO:0072234', 'GO:0072235']"
GO:BP,GO:0080090,regulation of primary metabolic process,1.0,False,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5215,54,9,20972,0.16666666666666666,0.0017257909875359539,query_1,"['GO:0019222', 'GO:0044238']"
GO:BP,GO:0072235,metanephric distal tubule development,1.0,False,"""The process whose specific outcome is the progression of the metanephric distal tubule over time, from its formation to the mature structure. The metanephric distal tubule is a metanephric nephron tubule that begins at the metanephric macula densa and extends to the metanephric connecting tubule."" [GOC:mtg_kidney_jan10]",7,54,1,20972,0.018518518518518517,0.14285714285714285,query_1,"['GO:0072017', 'GO:0072234']"
GO:BP,GO:0072236,metanephric loop of Henle development,1.0,False,"""The process whose specific outcome is the progression of the metanephric loop of Henle over time, from its formation to the mature structure. The metanephric loop of Henle is a metanephric nephron tubule that connects the proximal convoluted tubule to the distal convoluted tubule in the metanephros."" [GOC:mtg_kidney_jan10]",6,54,1,20972,0.018518518518518517,0.16666666666666666,query_1,"['GO:0072070', 'GO:0072234']"
GO:BP,GO:0072243,metanephric nephron epithelium development,1.0,False,"""The process whose specific outcome is the progression of the metanephric nephron epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure. The metanephric nephron epithelium is a tissue that covers the surface of a nephron in the metanephros."" [GOC:mtg_kidney_jan10]",26,54,2,20972,0.037037037037037035,0.07692307692307693,query_1,"['GO:0072009', 'GO:0072207']"
GO:BP,GO:0072273,metanephric nephron morphogenesis,1.0,False,"""The process in which the anatomical structures of the metanephric nephron are generated and organized. A metanephric nephron is the functional unit of the metanephros."" [GOC:mtg_kidney_jan10]",23,54,1,20972,0.018518518518518517,0.043478260869565216,query_1,"['GO:0003338', 'GO:0072028', 'GO:0072210']"
GO:BP,GO:0072282,metanephric nephron tubule morphogenesis,1.0,False,"""The process in which the anatomical structures of a metanephric nephron tubule are generated and organized. A metanephric nephron tubule is an epithelial tube that is part of the metanephric nephron, the functional part of the metanephros."" [GOC:mtg_kidney_jan10]",8,54,1,20972,0.018518518518518517,0.125,query_1,"['GO:0072078', 'GO:0072173', 'GO:0072234', 'GO:0072273']"
GO:BP,GO:0072337,modified amino acid transport,1.0,False,"""The directed movement of modified amino acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:mah]",40,54,1,20972,0.018518518518518517,0.025,query_1,['GO:0071705']
GO:BP,GO:0072218,metanephric ascending thin limb development,1.0,False,"""The process whose specific outcome is the progression of a metanephric ascending thin limb over time, from its formation to the mature structure. The metanephric ascending thin limb is a segment of a nephron tubule in the metanephros lying in the inner medulla that is permeable to ions but not to water and has a simple epithelium; active transepithelial solute transport is absent."" [GOC:mtg_kidney_jan10]",4,54,1,20972,0.018518518518518517,0.25,query_1,"['GO:0072021', 'GO:0072234', 'GO:0072236']"
GO:BP,GO:0075509,endocytosis involved in viral entry into host cell,1.0,False,"""Any endocytosis that is involved in the uptake of a virus into a host cell."" [GOC:bf, GOC:jl, VZ:977]",13,54,1,20972,0.018518518518518517,0.07692307692307693,query_1,['GO:0046718']
GO:BP,GO:0072522,purine-containing compound biosynthetic process,1.0,False,"""The chemical reactions and pathways resulting in the formation of a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."" [GOC:mah]",258,54,1,20972,0.018518518518518517,0.003875968992248062,query_1,"['GO:0009058', 'GO:0072521']"
GO:BP,GO:0072659,protein localization to plasma membrane,1.0,False,"""A process in which a protein is transported to, or maintained in, a specific location in the plasma membrane."" [GOC:mah]",286,54,2,20972,0.037037037037037035,0.006993006993006993,query_1,"['GO:0072657', 'GO:1990778']"
GO:BP,GO:0097720,calcineurin-mediated signaling,1.0,False,"""Any intracellular signal transduction in which the signal is passed on within the cell by activation of a transcription factor as a consequence of dephosphorylation by Ca(2+)-activated calcineurin. The process begins with calcium-dependent activation of the phosphatase calcineurin. Calcineurin is a calcium- and calmodulin-dependent serine/threonine protein phosphatase with a conserved function in eukaryotic species from yeast to humans. In yeast and fungi, calcineurin regulates stress signaling and cell cycle, and sporulation and virulence in pathogenic fungi. In metazoans, calcineurin is involved in cell commitment, organogenesis and organ development and immune function of T-lymphocytes. By a conserved mechanism, calcineurin phosphatase activates fungal Crz1 and mammalian NFATc by dephosphorylation and translocation of these transcription factors to the nucleus to regulate gene expression."" [GOC:di, PMID:25655284, PMID:25878052, PMID:26851544]",53,54,1,20972,0.018518518518518517,0.018867924528301886,query_1,['GO:0019722']
GO:BP,GO:0097744,renal urate salt excretion,1.0,False,"""The elimination of urate salt or uric acid from peritubular capillaries (or surrounding hemolymph in invertebrates) into the renal tubules to be incorporated subsequently into the urine."" [GOC:jl, PMID:25287933, PMID:3906799, Wikipedia:Renal_physiology#Secretion]",3,54,1,20972,0.018518518518518517,0.3333333333333333,query_1,['GO:0097254']
GO:BP,GO:0098542,defense response to other organism,1.0,False,"""Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."" [GOC:dos]",1121,54,8,20972,0.14814814814814814,0.007136485280999108,query_1,"['GO:0006952', 'GO:0051707']"
GO:BP,GO:0090189,regulation of branching involved in ureteric bud morphogenesis,1.0,False,"""Any process that modulates the rate, frequency or extent of branching involved in ureteric bud morphogenesis, the process in which the branching structure of the ureteric bud is generated and organized. The ureteric bud is an epithelial tube that grows out from the metanephric duct. The bud elongates and branches to give rise to the ureter and kidney collecting tubules."" [GOC:dph, GOC:tb, GOC:yaf]",21,54,1,20972,0.018518518518518517,0.047619047619047616,query_1,"['GO:0001658', 'GO:0060688', 'GO:0090183', 'GO:1905330', 'GO:2000027']"
GO:BP,GO:0090190,positive regulation of branching involved in ureteric bud morphogenesis,1.0,False,"""Any process that increases the rate, frequency or extent of branching involved in ureteric bud morphogenesis, the process in which the branching structure of the ureteric bud is generated and organized. The ureteric bud is an epithelial tube that grows out from the metanephric duct. The bud elongates and branches to give rise to the ureter and kidney collecting tubules."" [GOC:dph, GOC:tb, GOC:yaf]",18,54,1,20972,0.018518518518518517,0.05555555555555555,query_1,"['GO:0001658', 'GO:0051240', 'GO:0090189', 'GO:1905332']"
GO:BP,GO:0090207,regulation of triglyceride metabolic process,1.0,False,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving triglyceride, any triester of glycerol."" [GOC:dph, GOC:sl, GOC:tb]",38,54,1,20972,0.018518518518518517,0.02631578947368421,query_1,"['GO:0006641', 'GO:0019216']"
GO:BP,GO:0090263,positive regulation of canonical Wnt signaling pathway,1.0,False,"""Any process that increases the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes."" [GOC:tb]",108,54,1,20972,0.018518518518518517,0.009259259259259259,query_1,"['GO:0030177', 'GO:0060070', 'GO:0060828']"
GO:BP,GO:0090276,regulation of peptide hormone secretion,1.0,False,"""Any process that modulates the rate, frequency, or extent of the regulated release of a peptide hormone from secretory granules."" [GOC:tb]",204,54,1,20972,0.018518518518518517,0.004901960784313725,query_1,"['GO:0002791', 'GO:0030072', 'GO:0046883']"
GO:BP,GO:0090277,positive regulation of peptide hormone secretion,1.0,False,"""Any process that increases the rate, frequency, or extent of the regulated release of a peptide hormone from secretory granules."" [GOC:tb]",110,54,1,20972,0.018518518518518517,0.00909090909090909,query_1,"['GO:0002793', 'GO:0030072', 'GO:0046887', 'GO:0090276']"
GO:BP,GO:0090279,regulation of calcium ion import,1.0,False,"""Any process that modulates the rate, frequency, or extent of the directed movement of calcium ions into a cell or organelle."" [GOC:BHF]",45,54,2,20972,0.037037037037037035,0.044444444444444446,query_1,"['GO:0051924', 'GO:0070509']"
GO:BP,GO:0072665,protein localization to vacuole,1.0,False,"""A process in which a protein is transported to, or maintained at, a location in a vacuole."" [GOC:ecd]",79,54,1,20972,0.018518518518518517,0.012658227848101266,query_1,['GO:0033365']
GO:BP,GO:0090280,positive regulation of calcium ion import,1.0,False,"""Any process that increases the rate, frequency, or extent of the directed movement of calcium ions into a cell or organelle."" [GOC:BHF]",25,54,1,20972,0.018518518518518517,0.04,query_1,"['GO:0051928', 'GO:0070509', 'GO:0090279']"
GO:BP,GO:0090303,positive regulation of wound healing,1.0,False,"""Any process that increases the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."" [GOC:BHF]",61,54,1,20972,0.018518518518518517,0.01639344262295082,query_1,"['GO:0042060', 'GO:0061041', 'GO:1903036']"
GO:BP,GO:0090304,nucleic acid metabolic process,1.0,False,"""Any cellular metabolic process involving nucleic acids."" [GOC:dph, GOC:tb]",7401,54,8,20972,0.14814814814814814,0.001080935008782597,query_1,"['GO:0006139', 'GO:0043170']"
GO:BP,GO:0090407,organophosphate biosynthetic process,1.0,False,"""The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose."" [GOC:chem_mtg]",603,54,2,20972,0.037037037037037035,0.003316749585406302,query_1,"['GO:0009058', 'GO:0019637']"
GO:BP,GO:0090504,epiboly,1.0,False,"""The expansion of one cell sheet over other cells or yolk."" [GOC:dph, GOC:tb]",41,54,1,20972,0.018518518518518517,0.024390243902439025,query_1,['GO:0002011']
GO:BP,GO:0090505,epiboly involved in wound healing,1.0,False,"""The expansion of one cell sheet over other cells involved in wound healing."" [GOC:dph, GOC:tb]",40,54,1,20972,0.018518518518518517,0.025,query_1,"['GO:0042060', 'GO:0090504']"
GO:BP,GO:0097049,motor neuron apoptotic process,1.0,False,"""Any apoptotic process in a motor neuron, an efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes movement."" [CL:0000100, GOC:BHF, GOC:mtg_apoptosis, PMID:14523086]",21,54,1,20972,0.018518518518518517,0.047619047619047616,query_1,['GO:0051402']
GO:BP,GO:0097120,receptor localization to synapse,1.0,False,"""Any process in which a receptor is transported to, and/or maintained at the synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell."" [GOC:BHF, GOC:sjp, PMID:21525273]",77,54,2,20972,0.037037037037037035,0.025974025974025976,query_1,['GO:0051179']
GO:BP,GO:0072350,tricarboxylic acid metabolic process,1.0,False,"""The chemical reactions and pathways involving dicarboxylic acids, any organic acid containing three carboxyl (COOH) groups or anions (COO-)."" [GOC:mah]",15,54,1,20972,0.018518518518518517,0.06666666666666667,query_1,['GO:0019752']
GO:BP,GO:0072593,reactive oxygen species metabolic process,1.0,False,"""The chemical reactions and pathways involving a reactive oxygen species, any molecules or ions formed by the incomplete one-electron reduction of oxygen. They contribute to the microbicidal activity of phagocytes, regulation of signal transduction and gene expression, and the oxidative damage to biopolymers."" [GOC:mah]",228,54,2,20972,0.037037037037037035,0.008771929824561403,query_1,['GO:0008152']
GO:BP,GO:0072657,protein localization to membrane,1.0,False,"""A process in which a protein is transported to, or maintained in, a specific location in a membrane."" [GOC:mah]",445,54,3,20972,0.05555555555555555,0.006741573033707865,query_1,"['GO:0008104', 'GO:0051668']"
GO:BP,GO:0090281,negative regulation of calcium ion import,1.0,False,"""Any process that decreases the rate, frequency, or extent of the directed movement of calcium ions into a cell or organelle."" [GOC:BHF]",14,54,2,20972,0.037037037037037035,0.14285714285714285,query_1,"['GO:0051926', 'GO:0070509', 'GO:0090279']"
GO:BP,GO:0072359,circulatory system development,1.0,False,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1135,54,6,20972,0.1111111111111111,0.0052863436123348016,query_1,['GO:0048731']
GO:BP,GO:0072051,juxtaglomerular apparatus development,1.0,False,"""The process whose specific outcome is the progression of the juxtaglomerular apparatus over time, from its formation to the mature structure. The juxtaglomerular apparatus is an anatomical structure that lies adjacent to the glomerulus and regulates kidney function."" [GOC:mtg_kidney_jan10]",4,54,1,20972,0.018518518518518517,0.25,query_1,"['GO:0001822', 'GO:0048856']"
GO:BP,GO:0072025,distal convoluted tubule development,1.0,False,"""The process whose specific outcome is the progression of the distal convoluted tubule over time, from its formation to the mature structure. The distal convoluted tubule is the first segment of the nephron lying just downstream from the loop of Henle, immediately after the macula densa. Among other functions, in humans it is responsible for the reabsorption of about 5% of filtered sodium via the thiazide-sensitive Na-Cl symporter."" [GOC:mtg_kidney_jan10]",5,54,1,20972,0.018518518518518517,0.2,query_1,"['GO:0072017', 'GO:0072080']"
GO:BP,GO:0072009,nephron epithelium development,1.0,False,"""The process whose specific outcome is the progression of the nephron epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure. The nephron epithelium is a tissue that covers the surface of a nephron."" [GOC:mtg_kidney_jan10]",123,54,2,20972,0.037037037037037035,0.016260162601626018,query_1,"['GO:0072006', 'GO:0072073']"
GO:BP,GO:0072017,distal tubule development,1.0,False,"""The process whose specific outcome is the progression of the distal tubule over time, from its formation to the mature structure. In mammals, the distal tubule is a nephron tubule that begins at the macula densa and extends to the connecting tubule."" [GOC:mtg_kidney_jan10]",12,54,1,20972,0.018518518518518517,0.08333333333333333,query_1,['GO:0072080']
GO:BP,GO:0072021,ascending thin limb development,1.0,False,"""The process whose specific outcome is the progression of an ascending thin limb over time, from its formation to the mature structure. The ascending thin limb is a segment of a nephron tubule lying in the inner medulla that is permeable to ions but not to water and has a simple epithelium; active transepithelial solute transport is absent."" [GOC:mtg_kidney_jan10]",4,54,1,20972,0.018518518518518517,0.25,query_1,"['GO:0072070', 'GO:0072080']"
GO:BP,GO:0072023,thick ascending limb development,1.0,False,"""The process whose specific outcome is the progression of the thick ascending limb over time, from its formation to the mature structure. The thick ascending limb is the last part of the loop of Henle. Its thick, mitochondria-rich epithelium characterizes the outer medulla, and is responsible for very avid active salt transport. At the macula densa, the thick ascending limb connects to the distal convoluted tubule."" [GOC:mtg_kidney_jan10]",2,54,1,20972,0.018518518518518517,0.5,query_1,"['GO:0072017', 'GO:0072080']"
GO:BP,GO:0070848,response to growth factor,1.0,False,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF, GOC:mah]",734,54,1,20972,0.018518518518518517,0.0013623978201634877,query_1,['GO:0009719']
GO:BP,GO:0070884,regulation of calcineurin-NFAT signaling cascade,1.0,False,"""Any process that modulates the frequency, rate or extent of the calcineurin-NFAT signaling cascade."" [GOC:ai]",39,54,1,20972,0.018518518518518517,0.02564102564102564,query_1,"['GO:0033173', 'GO:0106056']"
GO:BP,GO:0070886,positive regulation of calcineurin-NFAT signaling cascade,1.0,False,"""Any process that activates or increases the frequency, rate or extent of signaling via the calcineurin-NFAT signaling cascade."" [GOC:mah]",21,54,1,20972,0.018518518518518517,0.047619047619047616,query_1,"['GO:0033173', 'GO:0070884', 'GO:0106058']"
GO:BP,GO:0070887,cellular response to chemical stimulus,1.0,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2199,54,5,20972,0.09259259259259259,0.002273760800363802,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0070925,organelle assembly,1.0,False,"""The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",1057,54,1,20972,0.018518518518518517,0.000946073793755913,query_1,"['GO:0006996', 'GO:0022607']"
GO:BP,GO:0070942,neutrophil mediated cytotoxicity,1.0,False,"""The directed killing of a target cell by a neutrophil."" [GOC:add, ISBN:0781765196]",16,54,1,20972,0.018518518518518517,0.0625,query_1,"['GO:0001909', 'GO:0002446']"
GO:BP,GO:0072006,nephron development,1.0,False,"""The process whose specific outcome is the progression of the nephron over time, from its formation to the mature structure. A nephron is the functional unit of the kidney."" [GOC:mtg_kidney_jan10]",159,54,2,20972,0.037037037037037035,0.012578616352201259,query_1,"['GO:0001822', 'GO:0048856']"
GO:BP,GO:0070943,neutrophil-mediated killing of symbiont cell,1.0,False,"""The directed killing of a symbiont target cell by a neutrophil. The symbiont is defined as the smaller of the organisms involved in a symbiotic interaction."" [GOC:add, ISBN:0781765196]",14,54,1,20972,0.018518518518518517,0.07142857142857142,query_1,"['GO:0031640', 'GO:0070942']"
GO:BP,GO:0070945,neutrophil-mediated killing of gram-negative bacterium,1.0,False,"""The directed killing of a gram-negative bacterium by a neutrophil."" [GOC:add, ISBN:0781765196]",7,54,1,20972,0.018518518518518517,0.14285714285714285,query_1,"['GO:0050829', 'GO:0070944']"
GO:BP,GO:0071248,cellular response to metal ion,1.0,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a metal ion stimulus."" [GOC:mah]",173,54,1,20972,0.018518518518518517,0.005780346820809248,query_1,"['GO:0010038', 'GO:0070887']"
GO:BP,GO:0071277,cellular response to calcium ion,1.0,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a calcium ion stimulus."" [GOC:mah]",77,54,1,20972,0.018518518518518517,0.012987012987012988,query_1,"['GO:0051592', 'GO:0071248']"
GO:BP,GO:0071345,cellular response to cytokine stimulus,1.0,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:mah]",891,54,3,20972,0.05555555555555555,0.003367003367003367,query_1,['GO:0034097']
GO:BP,GO:0071356,cellular response to tumor necrosis factor,1.0,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."" [GOC:mah]",198,54,2,20972,0.037037037037037035,0.010101010101010102,query_1,"['GO:0034612', 'GO:0071345']"
GO:BP,GO:0071363,cellular response to growth factor stimulus,1.0,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]",706,54,1,20972,0.018518518518518517,0.00141643059490085,query_1,"['GO:0070848', 'GO:0071495']"
GO:BP,GO:0071425,hematopoietic stem cell proliferation,1.0,False,"""The expansion of a hematopoietic stem cell population by cell division. A hematopoietic stem cell is a stem cell from which all cells of the lymphoid and myeloid lineages develop."" [CL:0000037, GOC:add, GOC:BHF, GOC:mah, GOC:rl]",35,54,1,20972,0.018518518518518517,0.02857142857142857,query_1,"['GO:0030097', 'GO:0072089']"
GO:BP,GO:0071466,cellular response to xenobiotic stimulus,1.0,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a xenobiotic, a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical."" [GOC:krc, GOC:mah]",194,54,1,20972,0.018518518518518517,0.005154639175257732,query_1,"['GO:0009410', 'GO:0070887']"
GO:BP,GO:0070120,ciliary neurotrophic factor-mediated signaling pathway,1.0,False,"""The series of molecular signals initiated by the binding of a ciliary neurotrophic factor (CNTF) to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:BHF, GOC:mah]",5,54,1,20972,0.018518518518518517,0.2,query_1,['GO:0019221']
